UNIT_ID	IMMUNITY	IMMUNECAT
g000uu0030	9	3
g000uu5230	9	3
g000uu5119	22	2
g000uu5019	22	2
g000uu5120	22	2
g000uu5020	22	2
g000uu5121	22	2
g000uu5021	22	2
g000uu5122	22	2
g000uu5022	22	2
g000uu5123	22	2
g000uu5023	22	2
g000uu0004	2	2
g000uu0004	15	2
g000uu6016	22	3
g000uu6116	22	3
g000uu6021	2	3
g000uu6121	2	3
g000uu6021	15	2
g000uu6121	15	2
g000uu0039	25	2
g000uu0039	12	2
g000uu0039	13	2
g000uu6015	1	2
g000uu0056	25	2
g000uu6115	1	2
g000uu6015	25	3
g000uu6115	25	3
g000uu5111	22	3
g000uu5011	22	3
g000uu5009	11	2
g000uu5105	11	2
g000uu5005	11	2
g000uu5007	10	2
g000uu5103	3	2
g000uu5003	3	2
g000uu5103	10	2
g000uu5003	10	2
g000uu5031	11	3
g000uu5131	11	3
g000uu5132	13	3
g000uu5032	13	3
g000uu8045	13	3
g000uu8145	13	3
g000uu8046	13	3
g000uu8146	13	3
g000uu5014	7	3
g000uu5014	10	3
g000uu0025	12	2
g000uu0051	12	3
g000uu0104	12	3
g000uu0055	12	2
g000uu0056	12	2
g000uu0167	12	2
g000uu5167	12	3
g000uu8040	25	3
g000uu3001	25	3
g000uu3002	25	3
g000uu3003	25	3
g000uu3004	25	3
g000uu5367	12	2
g001uu0024	12	2
g002uu0025	12	3
g002uu0105	12	3
g002uu5026	12	3
g000uu6003	12	3
g000uu6103	12	3
g004uu5039	13	3
g004uu8005	13	3
g000uu5040	13	3
g004uu8005	18	3
g003uu8050	25	3
g000uu0152	25	2
g000uu0044	25	2
g001uu0044	25	2
g000uu5028	1	2
g000uu0039	9	2
g000uu2001	3	3
g000uu7500	3	3
g005uu6002	25	2
g000uu7503	25	2
g000uu7502	25	2
g005uu6111	25	2
g000uu2012	10	2
g000uu2012	11	2
g000uu2013	18	2
g000uu2016	25	2
g000uu2017	25	2
g000uu2017	7	2
g000uu2020	23	2
g000uu7508	12	2
g000uu7526	25	2
g000uu7527	25	2
g000uu7527	7	2
g000uu7529	18	2
g000uu8151	7	2
g000uu8151	10	2
g000uu8151	11	2
g000uu7535	7	2
g000uu7535	10	2
g000uu7535	11	2
g000uu8153	25	2
g000uu8153	10	2
g000uu8158	3	2
g000uu8159	3	2
g000uu8160	3	2
g000uu8161	3	2
g000uu8162	3	2
g000uu8163	3	2
g000uu8164	3	2
g000uu8165	3	2
g000uu8158	9	2
g000uu8158	22	2
g000uu8159	9	2
g000uu8159	22	2
g000uu8160	9	2
g000uu8160	22	2
g000uu8161	9	2
g000uu8161	22	2
g000uu8162	9	2
g000uu8162	22	2
g000uu8163	9	2
g000uu8163	22	2
g000uu8164	9	2
g000uu8164	22	2
g000uu8165	9	2
g000uu8165	22	2
g000uu8168	12	2
g000uu8169	12	2
g000uu8170	12	2
g000uu8171	12	2
g000uu0157	3	3
g000uu0157	7	3
g000uu0157	22	3
g000uu8180	3	2
g000uu8180	9	2
g000uu8180	22	2
g000uu8181	3	2
g000uu8181	9	2
g000uu8181	22	2
g000uu8182	3	2
g000uu8182	9	2
g000uu8182	22	2
g000uu8183	3	2
g000uu8183	9	2
g000uu8183	22	2
g000uu8197	3	2
g000uu8197	22	2
g000uu8197	9	2
g000uu8198	3	2
g000uu8198	22	2
g000uu8198	9	2
g000uu8207	10	2
g000uu8208	10	2
g000uu8216	3	3
g000uu8216	7	3
g000uu8216	9	3
g000uu8216	12	3
g000uu8217	3	3
g000uu8217	7	3
g000uu8217	9	3
g000uu8217	12	3
g000uu8221	10	2
g000uu8221	25	2
g000uu8225	9	3
g000uu8226	9	3
g000uu8229	12	2
g000uu8230	12	2
g000uu8224	9	3
g000uu0157	2	2
g000uu0157	15	2
g000uu0005	2	2
g000uu0005	3	3
g000uu0005	15	2
g000uu0005	7	3
g000uu0024	3	3
g000uu0024	7	3
g000uu0024	22	3
g001uu0024	3	3
g001uu0024	7	3
g001uu0024	22	3
g000uu7508	3	3
g000uu7508	7	3
g000uu7508	22	3
g000uu8231	3	3
g000uu8231	7	3
g000uu8231	9	3
g000uu8231	22	3
g000uu8231	25	2
g000uu8232	3	3
g000uu8232	7	3
g000uu8232	9	3
g000uu8232	22	3
g000uu8232	25	2
g000uu8231	10	2
g000uu8231	11	2
g000uu8232	10	2
g000uu8232	11	2
g000uu2012	18	2
g000uu8233	18	2
g000uu8233	12	2
g000uu8234	18	2
g000uu8234	12	2
g000uu8231	12	2
g000uu8231	13	2
g000uu8231	23	2
g000uu8232	12	2
g000uu8232	13	2
g000uu8232	23	2
g000uu8185	13	2
g000uu8185	23	2
g000uu8191	13	2
g000uu8191	23	2
g000uu8237	1	2
g000uu8237	12	2
g000uu8237	13	2
g000uu8237	23	2
g000uu8237	3	3
g000uu8237	7	3
g000uu8237	9	3
g000uu8237	22	3
g000uu8238	12	3
g000uu8238	13	3
g000uu8238	23	3
g001uu8238	12	3
g001uu8238	13	3
g001uu8238	23	3
g000uu8237	2	2
g000uu8237	15	2
g000uu8240	10	2
g000uu8240	11	2
g000uu8240	18	2
g001uu8240	10	2
g001uu8240	11	2
g001uu8240	18	2
g000uu0077	23	3
g000uu0107	23	3
g001uu0107	23	3
g000uu7507	23	3
g000uu8242	1	2
g001uu8242	1	2
g000uu8254	25	2
g000uu8244	3	3
g000uu8244	7	3
g000uu8244	23	3
g000uu8244	22	3
g000uu8247	13	3
g000uu8252	11	2
g000uu8255	3	3
g000uu8255	7	3
g000uu8255	9	3
g000uu8255	12	3
g001uu8255	3	3
g001uu8255	7	3
g001uu8255	9	3
g001uu8255	12	3
g000uu8257	25	3
g000uu8260	12	2
g000uu8261	13	2
g001uu8257	25	3
g001uu8260	12	2
g001uu8261	13	2
g000uu8259	25	2
g000uu8259	3	3
g000uu8259	7	3
g000uu8259	9	3
g000uu8259	12	3
g001uu8259	25	2
g001uu8259	3	3
g001uu8259	7	3
g001uu8259	9	3
g001uu8259	12	3
g000uu8258	12	2
g000uu8262	3	3
g000uu8262	7	3
g000uu8263	11	3
g000uu8264	13	3
g000uu8265	23	3
g000uu8266	9	3
g001uu8262	3	3
g001uu8262	7	3
g000uu8268	3	2
g000uu8268	9	2
g000uu8268	22	2
g000uu8269	3	2
g000uu8269	9	2
g000uu8269	22	2
g000uu8270	3	2
g000uu8270	9	2
g000uu8270	22	2
g001uu8268	3	2
g001uu8268	9	2
g001uu8268	22	2
g001uu8269	3	2
g001uu8269	9	2
g001uu8269	22	2
g001uu8270	3	2
g001uu8270	22	2
g000uu8271	3	2
g000uu8271	7	3
g001uu8271	3	2
g001uu8271	7	3
g000uu8268	12	3
g000uu8270	23	3
g001uu8268	12	3
g001uu8270	23	3
g000uu8272	12	2
g000uu8272	25	2
g001uu8272	12	2
g001uu8272	25	2
g000uu8274	12	2
g000uu8275	12	2
g000uu8281	25	2
g001uu8281	25	2
g000uu8302	25	3
g000uu8296	13	3
g000uu8297	13	3
g000uu8297	18	3
g000uu8279	12	2
g001uu8279	12	2
g000uu7536	12	3
g000uu7537	12	3
g000uu7538	12	3
g000uu8303	3	3
g000uu8303	9	3
g001uu8303	3	3
g001uu8303	9	3
g000uu8298	3	3
g000uu8298	22	3
g000uu8298	9	3
g000uu8298	7	3
g001uu8298	3	3
g001uu8298	22	3
g001uu8298	9	3
g001uu8298	7	3
g000uu8304	11	3
g000uu8304	3	2
g000uu8304	9	2
g000uu8305	2	2
g000uu8305	15	2
g000uu8306	3	3
g000uu8306	7	3
g000uu8307	25	2
g000uu8307	3	3
g000uu8307	9	3
g000uu8307	7	3
g000uu8307	22	3
g001uu8307	25	2
g001uu8307	3	3
g001uu8307	9	3
g001uu8307	7	3
g001uu8307	22	3
g000uu8313	9	3
g000uu8313	10	3
g000uu8313	11	3
g000uu8313	25	2
g000uu8313	18	2
g001uu8313	9	3
g001uu8313	10	3
g001uu8313	11	3
g001uu8313	25	2
g001uu8313	18	2
g000uu7540	25	2
g000uu7540	10	2
g000uu6018	22	3
g000uu6118	22	3
g000uu7541	3	3
g000uu7541	7	3
g000uu7541	9	3
g000uu7541	22	2
g000uu7541	25	3
g001uu7541	3	3
g001uu7541	7	3
g001uu7541	9	3
g001uu7541	22	2
g001uu7541	25	3
g000uu8003	3	2
g000uu8003	9	2
g000uu8003	22	2
g000uu8003	7	3
g000uu8103	3	2
g000uu8103	9	2
g000uu8103	22	2
g000uu8103	7	3
g000uu0158	10	3
g000uu5358	10	3
g000uu8242	20	3
g001uu8242	20	3
g000uu7549	11	2
g001uu7549	11	2
g000uu7548	12	2
g001uu7548	12	2
g000uu7554	13	2
g000uu7554	25	2
g001uu7554	13	2
g001uu7554	25	2
g000uu7555	9	2
g000uu7555	3	2
g000uu7555	22	2
g000uu7555	12	2
g001uu7555	9	2
g001uu7555	3	2
g001uu7555	22	2
g001uu7555	12	2
g000uu0167	13	2
g000uu0167	23	2
g000uu5367	13	2
g000uu5367	23	2
g000uu8272	13	2
g000uu8272	23	2
g001uu8272	13	2
g001uu8272	23	2
g000uu7561	11	2
g000uu7562	11	2
g000uu7560	2	3
g000uu7560	15	2
g000uu7563	2	2
g000uu7563	15	2
g000uu7564	10	2
g000uu7565	12	2
g000uu7566	15	2
g000uu7566	2	2
g000uu7566	22	3
g000uu7566	9	3
g000uu7566	7	3
g000uu7566	3	3
g000uu7566	23	2
g000uu7566	12	2
g000uu7566	1	2
g000uu7566	13	2
g000uu7567	15	2
g000uu7567	2	2
g000uu7567	22	3
g000uu7567	9	3
g000uu7567	7	3
g000uu7567	3	3
g000uu7567	23	2
g000uu7567	12	2
g000uu7567	1	2
g000uu7567	13	2
g001uu7563	2	2
g001uu7563	15	2
g001uu7564	10	2
g001uu7565	12	2
g001uu7560	2	3
g001uu7560	15	2
g000uu7571	13	3
g001uu7571	13	3
g000uu7572	12	2
g000uu7573	12	2
g000uu7574	12	2
g001uu7573	12	2
g001uu7574	12	2
g000uu7578	7	2
g000uu7578	10	2
g000uu7579	25	2
g000uu7579	23	2
g000uu7579	13	2
g000uu7579	3	2
g001uu7579	25	2
g001uu7579	23	2
g001uu7579	13	2
g001uu7579	3	2
g000uu7575	22	2
g000uu7575	3	2
g000uu7575	9	2
g001uu7575	22	2
g001uu7575	3	2
g001uu7575	9	2
g000uu7576	22	2
g000uu7576	3	2
g000uu7576	9	2
g001uu7576	22	2
g001uu7576	3	2
g001uu7576	9	2
g000uu7582	13	2
g001uu7582	13	2
g001uu0025	12	2
g000uu7509	12	2
g000uu0014	11	3
g000uu0014	18	2
g000uu5214	11	3
g000uu5214	18	2
g000uu8030	3	2
g000uu8030	7	2
g000uu8212	3	3
g000uu8212	7	3
g000uu7583	13	3
g000uu7584	23	2
g000uu7584	12	2
g000uu7584	13	2
g000uu7584	2	2
g000uu7584	15	2
g000uu7584	10	3
g000uu7584	11	3
g000uu7584	7	3
g000uu7584	3	3
g000uu7584	22	3
g000uu7584	9	3
g000uu7585	3	3
g000uu7585	9	3
g000uu7585	18	3
g000uu7589	7	3
g000uu7589	3	3
g000uu7589	22	3
g000uu7591	25	3
g001uu7584	23	2
g001uu7584	12	2
g001uu7584	13	2
g001uu7584	2	2
g001uu7584	15	2
g001uu7584	10	3
g001uu7584	11	3
g001uu7584	7	3
g001uu7584	3	3
g001uu7584	22	3
g001uu7584	9	3
g001uu7585	3	3
g001uu7585	9	3
g001uu7585	18	3
g001uu7591	25	3
g000uu2025	12	2
g000uu2026	12	2
g000uu2027	12	2
g000uu2028	12	2
g000uu2023	2	2
g000uu2023	3	3
g000uu2023	15	2
g000uu2023	7	3
g000uu6007	3	2
g000uu6007	22	2
g000uu6107	3	2
g000uu6107	22	2
g000uu8115	25	2
g001uu8270	9	2
g000uu8220	24	1
