LORD_ID	SPELL_ID	RESEARCH
g000LR0003	g000ss0001	g0000:r0000:y0200:e0000:w0000
g000LR0003	g000ss0002	g0000:r0000:y0200:e0000:w0000
g000LR0003	g000ss0003	g0000:r0000:y0200:e0000:w0000
g000LR0003	g000ss0004	g0000:r0000:y0200:e0000:w0000
g000LR0003	g000ss0005	g0000:r0000:y0200:e0000:w0000
g000LR0003	g000ss0006	g0000:r0000:y0400:e0000:w0000
g000LR0003	g000ss0007	g0000:r0000:y0400:e0000:w0000
g000LR0003	g000ss0008	g0000:r0000:y0400:e0000:w0000
g000LR0003	g000ss0009	g0000:r0000:y0400:e0000:w0000
g000LR0003	g000ss0010	g0000:r0000:y0400:e0000:w0000
g000LR0003	g000ss0011	g0000:r0000:y0450:e0000:w0450
g000LR0003	g000ss0012	g0000:r0000:y0450:e0000:w0450
g000LR0003	g000ss0013	g0000:r0450:y0450:e0000:w0000
g000LR0003	g000ss0014	g0000:r0000:y0450:e0000:w0450
g000LR0003	g000ss0015	g0000:r0400:y0800:e0000:w0400
g000LR0003	g000ss0016	g0000:r0600:y0800:e0000:w0300
g000LR0003	g000ss0017	g0000:r0400:y0800:e0000:w0400
g000LR0003	g000ss0018	g0000:r0300:y1250:e0600:w0350
g000LR0003	g000ss0019	g0000:r0500:y1250:e0400:w0350
g000LR0003	g000ss0020	g0000:r0450:y1250:e0300:w0500
g000LR0004	g000ss0026	g0000:r0000:y0000:e0000:w0400
g000LR0004	g000ss0027	g0000:r0000:y0000:e0000:w0200
g000LR0004	g000ss0028	g0000:r0000:y0000:e0000:w0400
g000LR0004	g000ss0029	g0000:r0000:y0000:e0000:w0400
g000LR0004	g000ss0030	g0000:r0000:y0000:e0000:w0400
g000LR0004	g000ss0031	g0000:r0000:y0450:e0000:w0450
g000LR0004	g000ss0032	g0000:r0000:y0000:e0300:w0300
g000LR0004	g000ss0033	g0000:r0000:y0450:e0000:w0450
g000LR0004	g000ss0034	g0000:r0000:y0450:e0000:w0450
g000LR0005	g000ss0026	g0000:r0000:y0000:e0000:w0400
g000LR0005	g000ss0027	g0000:r0000:y0000:e0000:w0200
g000LR0005	g000ss0028	g0000:r0000:y0000:e0000:w0400
g000LR0005	g000ss0029	g0000:r0000:y0000:e0000:w0400
g000LR0005	g000ss0030	g0000:r0000:y0000:e0000:w0400
g000LR0005	g000ss0031	g0000:r0000:y0450:e0000:w0450
g000LR0005	g000ss0032	g0000:r0000:y0000:e0300:w0300
g000LR0005	g000ss0033	g0000:r0000:y0450:e0000:w0450
g000LR0005	g000ss0034	g0000:r0000:y0450:e0000:w0450
g000LR0005	g000ss0035	g0000:r0000:y0300:e0500:w0800
g000LR0005	g000ss0036	g0000:r0000:y0400:e0400:w0800
g000LR0005	g000ss0037	g0000:r0000:y0400:e0400:w0800
g000LR0006	g000ss0026	g0000:r0000:y0000:e0000:w0400
g000LR0006	g000ss0027	g0000:r0000:y0000:e0000:w0200
g000LR0006	g000ss0028	g0000:r0000:y0000:e0000:w0400
g000LR0006	g000ss0029	g0000:r0000:y0000:e0000:w0400
g000LR0006	g000ss0030	g0000:r0000:y0000:e0000:w0400
g000LR0006	g000ss0031	g0000:r0000:y0450:e0000:w0450
g000LR0006	g000ss0032	g0000:r0000:y0000:e0300:w0300
g000LR0006	g000ss0033	g0000:r0000:y0450:e0000:w0450
g000LR0006	g000ss0034	g0000:r0000:y0450:e0000:w0450
g000LR0006	g000ss0035	g0000:r0000:y0300:e0500:w0800
g000LR0006	g000ss0036	g0000:r0000:y0400:e0400:w0800
g000LR0006	g000ss0037	g0000:r0000:y0400:e0400:w0800
g000LR0006	g000ss0038	g0000:r0600:y0350:e0300:w1250
g000LR0006	g000ss0039	g0000:r0400:y0500:e0350:w1250
g000LR0006	g000ss0040	g0000:r0300:y0550:e0400:w1250
g000LR0007	g000ss0051	g0000:r0450:y0450:e0000:w0000
g000LR0007	g000ss0052	g0000:r0450:y0000:e0450:w0000
g000LR0007	g000ss0053	g0000:r0450:y0000:e0450:w0000
g000LR0007	g000ss0054	g0000:r0450:y0000:e0450:w0000
g000LR0008	g000ss0041	g0000:r0200:y0000:e0000:w0000
g000LR0008	g000ss0042	g0000:r0150:y0000:e0000:w0000
g000LR0008	g000ss0043	g0000:r0200:y0000:e0000:w0000
g000LR0008	g000ss0044	g0000:r0200:y0000:e0000:w0000
g000LR0008	g000ss0045	g0000:r0200:y0000:e0000:w0000
g000LR0008	g000ss0046	g0000:r0400:y0000:e0000:w0000
g000LR0008	g000ss0047	g0000:r0300:y0000:e0000:w0000
g000LR0008	g000ss0048	g0000:r0400:y0000:e0000:w0000
g000LR0008	g000ss0049	g0000:r0400:y0000:e0000:w0000
g000LR0008	g000ss0050	g0000:r0400:y0000:e0000:w0000
g000LR0008	g000ss0051	g0000:r0450:y0450:e0000:w0000
g000LR0008	g000ss0052	g0000:r0450:y0000:e0450:w0000
g000LR0008	g000ss0053	g0000:r0450:y0000:e0450:w0000
g000LR0008	g000ss0054	g0000:r0450:y0000:e0450:w0000
g000LR0008	g000ss0055	g0000:r0800:y0400:e0400:w0000
g000LR0008	g000ss0056	g0000:r0800:y0400:e0400:w0000
g000LR0008	g000ss0057	g0000:r0800:y0300:e0500:w0000
g000LR0009	g000ss0041	g0000:r0200:y0000:e0000:w0000
g000LR0009	g000ss0042	g0000:r0150:y0000:e0000:w0000
g000LR0009	g000ss0043	g0000:r0200:y0000:e0000:w0000
g000LR0009	g000ss0044	g0000:r0200:y0000:e0000:w0000
g000LR0009	g000ss0045	g0000:r0200:y0000:e0000:w0000
g000LR0009	g000ss0046	g0000:r0400:y0000:e0000:w0000
g000LR0009	g000ss0047	g0000:r0300:y0000:e0000:w0000
g000LR0009	g000ss0048	g0000:r0400:y0000:e0000:w0000
g000LR0009	g000ss0049	g0000:r0400:y0000:e0000:w0000
g000LR0009	g000ss0050	g0000:r0400:y0000:e0000:w0000
g000LR0009	g000ss0051	g0000:r0450:y0450:e0000:w0000
g000LR0009	g000ss0052	g0000:r0450:y0000:e0450:w0000
g000LR0009	g000ss0053	g0000:r0450:y0000:e0450:w0000
g000LR0009	g000ss0054	g0000:r0450:y0000:e0450:w0000
g000LR0009	g000ss0055	g0000:r0800:y0400:e0400:w0000
g000LR0009	g000ss0056	g0000:r0800:y0400:e0400:w0000
g000LR0009	g000ss0057	g0000:r0800:y0300:e0500:w0000
g000LR0009	g000ss0058	g0000:r1250:y0400:e0550:w0300
g000LR0009	g000ss0059	g0000:r0500:y0000:e0000:w0000
g000LR0009	g000ss0060	g0000:r1250:y0350:e0400:w0500
g000LR0010	g000ss0061	g0000:r0000:y0000:e0200:w0000
g000LR0010	g000ss0062	g0000:r0000:y0000:e0200:w0000
g000LR0010	g000ss0063	g0000:r0000:y0000:e0200:w0000
g000LR0010	g000ss0064	g0000:r0000:y0000:e0200:w0000
g000LR0010	g000ss0065	g0000:r0000:y0000:e0200:w0000
g000LR0010	g000ss0066	g0000:r0000:y0000:e0400:w0000
g000LR0010	g000ss0067	g0000:r0000:y0000:e0400:w0000
g000LR0010	g000ss0068	g0000:r0000:y0000:e0400:w0000
g000LR0010	g000ss0069	g0000:r0000:y0000:e0400:w0000
g000LR0010	g000ss0070	g0000:r0000:y0000:e0400:w0000
g000LR0010	g000ss0071	g0000:r0450:y0000:e0450:w0000
g000LR0010	g000ss0072	g0000:r0450:y0000:e0450:w0000
g000LR0010	g000ss0073	g0000:r0450:y0000:e0450:w0000
g000LR0010	g000ss0074	g0000:r0450:y0000:e0450:w0000
g000LR0011	g000ss0061	g0000:r0000:y0000:e0200:w0000
g000LR0011	g000ss0062	g0000:r0000:y0000:e0200:w0000
g000LR0011	g000ss0063	g0000:r0000:y0000:e0200:w0000
g000LR0011	g000ss0064	g0000:r0000:y0000:e0200:w0000
g000LR0011	g000ss0065	g0000:r0000:y0000:e0200:w0000
g000LR0011	g000ss0066	g0000:r0000:y0000:e0400:w0000
g000LR0011	g000ss0067	g0000:r0000:y0000:e0400:w0000
g000LR0011	g000ss0068	g0000:r0000:y0000:e0400:w0000
g000LR0011	g000ss0069	g0000:r0000:y0000:e0400:w0000
g000LR0011	g000ss0070	g0000:r0000:y0000:e0400:w0000
g000LR0011	g000ss0071	g0000:r0450:y0000:e0450:w0000
g000LR0011	g000ss0072	g0000:r0450:y0000:e0450:w0000
g000LR0011	g000ss0073	g0000:r0450:y0000:e0450:w0000
g000LR0011	g000ss0074	g0000:r0450:y0000:e0450:w0000
g000LR0011	g000ss0075	g0000:r0400:y0000:e0800:w0400
g000LR0011	g000ss0076	g0000:r0400:y0000:e0800:w0400
g000LR0011	g000ss0077	g0000:r0500:y0000:e0800:w0300
g000LR0012	g000ss0061	g0000:r0000:y0000:e0200:w0000
g000LR0012	g000ss0062	g0000:r0000:y0000:e0200:w0000
g000LR0012	g000ss0063	g0000:r0000:y0000:e0200:w0000
g000LR0012	g000ss0064	g0000:r0000:y0000:e0200:w0000
g000LR0012	g000ss0065	g0000:r0000:y0000:e0200:w0000
g000LR0012	g000ss0066	g0000:r0000:y0000:e0400:w0000
g000LR0012	g000ss0067	g0000:r0000:y0000:e0400:w0000
g000LR0012	g000ss0068	g0000:r0000:y0000:e0400:w0000
g000LR0012	g000ss0069	g0000:r0000:y0000:e0400:w0000
g000LR0012	g000ss0070	g0000:r0000:y0000:e0400:w0000
g000LR0012	g000ss0071	g0000:r0450:y0000:e0450:w0000
g000LR0012	g000ss0072	g0000:r0450:y0000:e0450:w0000
g000LR0012	g000ss0073	g0000:r0450:y0000:e0450:w0000
g000LR0012	g000ss0074	g0000:r0450:y0000:e0450:w0000
g000LR0012	g000ss0075	g0000:r0400:y0000:e0800:w0400
g000LR0012	g000ss0076	g0000:r0400:y0000:e0800:w0400
g000LR0012	g000ss0077	g0000:r0500:y0000:e0800:w0300
g000LR0012	g000ss0078	g0000:r0500:y0300:e1250:w0450
g000LR0012	g000ss0079	g0000:r0350:y0500:e1250:w0400
g000LR0012	g000ss0080	g0000:r0500:y0400:e1250:w0350
g000LR0004	g000ss0021	g0000:r0000:y0000:e0000:w0200
g000LR0004	g000ss0022	g0000:r0000:y0000:e0000:w0100
g000LR0004	g000ss0023	g0000:r0000:y0000:e0000:w0200
g000LR0004	g000ss0024	g0000:r0000:y0000:e0000:w0200
g000LR0004	g000ss0025	g0000:r0000:y0000:e0000:w0200
g000LR0005	g000ss0021	g0000:r0000:y0000:e0000:w0200
g000LR0005	g000ss0022	g0000:r0000:y0000:e0000:w0100
g000LR0005	g000ss0023	g0000:r0000:y0000:e0000:w0200
g000LR0005	g000ss0024	g0000:r0000:y0000:e0000:w0200
g000LR0005	g000ss0025	g0000:r0000:y0000:e0000:w0200
g000LR0006	g000ss0021	g0000:r0000:y0000:e0000:w0200
g000LR0006	g000ss0022	g0000:r0000:y0000:e0000:w0100
g000LR0006	g000ss0023	g0000:r0000:y0000:e0000:w0200
g000LR0006	g000ss0024	g0000:r0000:y0000:e0000:w0200
g000LR0006	g000ss0025	g0000:r0000:y0000:e0000:w0200
g000LR0007	g000ss0041	g0000:r0200:y0000:e0000:w0000
g000LR0007	g000ss0042	g0000:r0150:y0000:e0000:w0000
g000LR0007	g000ss0043	g0000:r0200:y0000:e0000:w0000
g000LR0007	g000ss0044	g0000:r0200:y0000:e0000:w0000
g000LR0007	g000ss0045	g0000:r0200:y0000:e0000:w0000
g000LR0007	g000ss0046	g0000:r0400:y0000:e0000:w0000
g000LR0007	g000ss0047	g0000:r0300:y0000:e0000:w0000
g000LR0007	g000ss0048	g0000:r0400:y0000:e0000:w0000
g000LR0007	g000ss0049	g0000:r0400:y0000:e0000:w0000
g000LR0007	g000ss0050	g0000:r0400:y0000:e0000:w0000
g000LR0001	g000ss0015	g0000:r0400:y0800:e0000:w0400
g000LR0001	g000ss0016	g0000:r0600:y0800:e0000:w0300
g000LR0001	g000ss0017	g0000:r0400:y0800:e0000:w0400
g000LR0001	g000ss0018	g0000:r0300:y1250:e0600:w0350
g000LR0001	g000ss0019	g0000:r0500:y1250:e0400:w0350
g000LR0001	g000ss0020	g0000:r0450:y1250:e0300:w0500
g000LR0002	g000ss0018	g0000:r0300:y1250:e0600:w0350
g000LR0002	g000ss0019	g0000:r0500:y1250:e0400:w0350
g000LR0002	g000ss0020	g0000:r0450:y1250:e0300:w0500
g000LR0004	g000ss0035	g0000:r0000:y0300:e0500:w0800
g000LR0004	g000ss0036	g0000:r0000:y0400:e0400:w0800
g000LR0004	g000ss0037	g0000:r0000:y0400:e0400:w0800
g000LR0004	g000ss0038	g0000:r0600:y0350:e0300:w1250
g000LR0004	g000ss0039	g0000:r0400:y0500:e0350:w1250
g000LR0004	g000ss0040	g0000:r0300:y0550:e0400:w1250
g000LR0005	g000ss0038	g0000:r0600:y0350:e0300:w1250
g000LR0005	g000ss0039	g0000:r0400:y0500:e0350:w1250
g000LR0005	g000ss0040	g0000:r0300:y0550:e0400:w1250
g000LR0007	g000ss0055	g0000:r0800:y0400:e0400:w0000
g000LR0007	g000ss0056	g0000:r0800:y0400:e0400:w0000
g000LR0007	g000ss0057	g0000:r0800:y0300:e0500:w0000
g000LR0007	g000ss0058	g0000:r1250:y0400:e0550:w0300
g000LR0007	g000ss0059	g0000:r0500:y0000:e0000:w0000
g000LR0007	g000ss0060	g0000:r1250:y0350:e0400:w0500
g000LR0008	g000ss0058	g0000:r1250:y0400:e0550:w0300
g000LR0008	g000ss0059	g0000:r0500:y0000:e0000:w0000
g000LR0008	g000ss0060	g0000:r1250:y0350:e0400:w0500
g000LR0010	g000ss0075	g0000:r0400:y0000:e0800:w0400
g000LR0010	g000ss0076	g0000:r0400:y0000:e0800:w0400
g000LR0010	g000ss0077	g0000:r0500:y0000:e0800:w0300
g000LR0010	g000ss0078	g0000:r0500:y0300:e1250:w0450
g000LR0010	g000ss0079	g0000:r0350:y0500:e1250:w0400
g000LR0010	g000ss0080	g0000:r0500:y0400:e1250:w0350
g000LR0011	g000ss0078	g0000:r0500:y0300:e1250:w0450
g000LR0011	g000ss0079	g0000:r0350:y0500:e1250:w0400
g000LR0011	g000ss0080	g0000:r0500:y0400:e1250:w0350
g000LR0001	g000ss0081	g0000:r0680:y0680:e0000:w0000
g000LR0001	g000ss0082	g0000:r0600:y1200:e0000:w0600
g000LR0001	g000ss0083	g0000:r0800:y1600:e0800:w0000
g000LR0001	g000ss0084	g0000:r0800:y2500:e0800:w0900
g000LR0002	g000ss0081	g0000:r0680:y0680:e0000:w0000
g000LR0002	g000ss0082	g0000:r0600:y1200:e0000:w0600
g000LR0002	g000ss0083	g0000:r0800:y1600:e0800:w0000
g000LR0002	g000ss0084	g0000:r0800:y2500:e0800:w0900
g000LR0003	g000ss0081	g0000:r0680:y0680:e0000:w0000
g000LR0003	g000ss0082	g0000:r0600:y1200:e0000:w0600
g000LR0003	g000ss0083	g0000:r0800:y1600:e0800:w0000
g000LR0003	g000ss0084	g0000:r0800:y2500:e0800:w0900
g000LR0004	g000ss0085	g0000:r0000:y0680:e0000:w0680
g000LR0004	g000ss0086	g0000:r0000:y0600:e0600:w1200
g000LR0004	g000ss0087	g0000:r0000:y0800:e0800:w1600
g000LR0004	g000ss0088	g0000:r0800:y0900:e0800:w2500
g000LR0005	g000ss0085	g0000:r0000:y0680:e0000:w0680
g000LR0005	g000ss0086	g0000:r0000:y0600:e0600:w1200
g000LR0005	g000ss0087	g0000:r0000:y0800:e0800:w1600
g000LR0005	g000ss0088	g0000:r0800:y0900:e0800:w2500
g000LR0006	g000ss0085	g0000:r0000:y0680:e0000:w0680
g000LR0006	g000ss0086	g0000:r0000:y0600:e0600:w1200
g000LR0006	g000ss0087	g0000:r0000:y0800:e0800:w1600
g000LR0006	g000ss0088	g0000:r0800:y0900:e0800:w2500
g000LR0007	g000ss0089	g0000:r0680:y0000:e0680:w0000
g000LR0007	g000ss0090	g0000:r1200:y0600:e0600:w0000
g000LR0007	g000ss0091	g0000:r1200:y0000:e0600:w0600
g000LR0007	g000ss0092	g0000:r2500:y0800:e0900:w0800
g000LR0008	g000ss0089	g0000:r0680:y0000:e0680:w0000
g000LR0008	g000ss0090	g0000:r1200:y0600:e0600:w0000
g000LR0008	g000ss0091	g0000:r1200:y0000:e0600:w0600
g000LR0008	g000ss0092	g0000:r2500:y0800:e0900:w0800
g000LR0009	g000ss0089	g0000:r0680:y0000:e0680:w0000
g000LR0009	g000ss0090	g0000:r1200:y0600:e0600:w0000
g000LR0009	g000ss0091	g0000:r1200:y0000:e0600:w0600
g000LR0009	g000ss0092	g0000:r2500:y0800:e0900:w0800
g000LR0010	g000ss0093	g0000:r0000:y0000:e0680:w0680
g000LR0010	g000ss0094	g0000:r0600:y0000:e1200:w0600
g000LR0010	g000ss0095	g0000:r0000:y0800:e1600:w0800
g000LR0010	g000ss0096	g0000:r0680:y0600:e1880:w0600
g000LR0011	g000ss0093	g0000:r0000:y0000:e0680:w0680
g000LR0011	g000ss0094	g0000:r0600:y0000:e1200:w0600
g000LR0011	g000ss0095	g0000:r0000:y0800:e1600:w0800
g000LR0011	g000ss0096	g0000:r0680:y0600:e1880:w0600
g000LR0012	g000ss0093	g0000:r0000:y0000:e0680:w0680
g000LR0012	g000ss0094	g0000:r0600:y0000:e1200:w0600
g000LR0012	g000ss0095	g0000:r0000:y0800:e1600:w0800
g000LR0012	g000ss0096	g0000:r0680:y0600:e1880:w0600
g000LR0016	g000ss0119	g0000:r0000:y0450:e0500:w0300:b1250
g000LR0016	g000ss0117	g0000:r0000:y0500:e0450:w0300:b1250
g000LR0016	g000ss0116	g0000:r0000:y0600:e0000:w0300:b0800
g000LR0016	g000ss0115	g0000:r0000:y0300:e0450:w0000:b0800
g000LR0016	g000ss0114	g0000:r0000:y0150:e0250:w0000:b0400
g000LR0016	g000ss0113	g0000:r0000:y0400:e0000:w0400:b0800
g000LR0016	g000ss0112	g0000:r0000:y0400:e0000:w0400:b0800
g000LR0016	g000ss0111	g0000:r0000:y0000:e0450:w0000:b0450
g000LR0016	g000ss0110	g0000:r0000:y0450:e0000:w0000:b0450
g000LR0016	g000ss0109	g0000:r0000:y0450:e0000:w0000:b0450
g000LR0016	g000ss0097	g0000:r0000:y0000:e0000:w0000:b0200
g000LR0016	g000ss0108	g0000:r0000:y0450:e0000:w0000:b0450
g000LR0016	g000ss0120	g0000:r0000:y0550:e0300:w0400:b1250
g000LR0016	g000ss0107	g0000:r0000:y0450:e0000:w0000:b0450
g000LR0016	g000ss0106	g0000:r0000:y0000:e0000:w0000:b0300
g000LR0016	g000ss0105	g0000:r0000:y0000:e0000:w0000:b0400
g000LR0016	g000ss0104	g0000:r0000:y0000:e0000:w0000:b0400
g000LR0016	g000ss0103	g0000:r0000:y0000:e0000:w0000:b0400
g000LR0016	g000ss0102	g0000:r0000:y0000:e0000:w0000:b0400
g000LR0016	g000ss0101	g0000:r0000:y0000:e0000:w0000:b0200
g000LR0016	g000ss0100	g0000:r0000:y0000:e0000:w0000:b0400
g000LR0016	g000ss0099	g0000:r0000:y0000:e0000:w0000:b0200
g000LR0016	g000ss0098	g0000:r0000:y0000:e0000:w0000:b0200
g000LR0016	g000ss0118	g0000:r0000:y0300:e0500:w0450:b1250
g000LR0017	g000ss0097	g0000:r0000:y0000:e0000:w0000:b0200
g000LR0017	g000ss0098	g0000:r0000:y0000:e0000:w0000:b0200
g000LR0017	g000ss0099	g0000:r0000:y0000:e0000:w0000:b0200
g000LR0017	g000ss0100	g0000:r0000:y0000:e0000:w0000:b0400
g000LR0017	g000ss0101	g0000:r0000:y0000:e0000:w0000:b0200
g000LR0017	g000ss0102	g0000:r0000:y0000:e0000:w0000:b0400
g000LR0017	g000ss0103	g0000:r0000:y0000:e0000:w0000:b0400
g000LR0017	g000ss0104	g0000:r0000:y0000:e0000:w0000:b0400
g000LR0017	g000ss0105	g0000:r0000:y0000:e0000:w0000:b0150
g000LR0017	g000ss0106	g0000:r0000:y0000:e0000:w0000:b0400
g000LR0017	g000ss0107	g0000:r0000:y0450:e0000:w0000:b0450
g000LR0017	g000ss0108	g0000:r0000:y0450:e0000:w0000:b0450
g000LR0017	g000ss0109	g0000:r0000:y0450:e0000:w0000:b0450
g000LR0017	g000ss0110	g0000:r0000:y0450:e0000:w0000:b0450
g000LR0017	g000ss0111	g0000:r0000:y0000:e0450:w0000:b0450
g000LR0017	g000ss0112	g0000:r0000:y0400:e0000:w0400:b0800
g000LR0017	g000ss0113	g0000:r0000:y0400:e0000:w0400:b0800
g000LR0017	g000ss0114	g0000:r0000:y0150:e0250:w0000:b0400
g000LR0017	g000ss0115	g0000:r0000:y0300:e0450:w0000:b0800
g000LR0017	g000ss0116	g0000:r0000:y0600:e0000:w0300:b0800
g000LR0017	g000ss0117	g0000:r0000:y0500:e0450:w0300:b1250
g000LR0017	g000ss0118	g0000:r0000:y0300:e0500:w0450:b1250
g000LR0017	g000ss0119	g0000:r0000:y0450:e0500:w0300:b1250
g000LR0017	g000ss0120	g0000:r0000:y0550:e0300:w0400:b1250
g000LR0018	g000ss0097	g0000:r0000:y0000:e0000:w0000:b0200
g000LR0018	g000ss0098	g0000:r0000:y0000:e0000:w0000:b0200
g000LR0018	g000ss0099	g0000:r0000:y0000:e0000:w0000:b0200
g000LR0018	g000ss0100	g0000:r0000:y0000:e0000:w0000:b0400
g000LR0018	g000ss0101	g0000:r0000:y0000:e0000:w0000:b0200
g000LR0018	g000ss0102	g0000:r0000:y0000:e0000:w0000:b0400
g000LR0018	g000ss0103	g0000:r0000:y0000:e0000:w0000:b0400
g000LR0018	g000ss0104	g0000:r0000:y0000:e0000:w0000:b0400
g000LR0018	g000ss0105	g0000:r0000:y0000:e0000:w0000:b0400
g000LR0018	g000ss0106	g0000:r0000:y0000:e0000:w0000:b0300
g000LR0018	g000ss0107	g0000:r0000:y0450:e0000:w0000:b0450
g000LR0018	g000ss0108	g0000:r0000:y0450:e0000:w0000:b0450
g000LR0018	g000ss0109	g0000:r0000:y0450:e0000:w0000:b0450
g000LR0018	g000ss0110	g0000:r0000:y0450:e0000:w0000:b0450
g000LR0018	g000ss0111	g0000:r0000:y0000:e0450:w0000:b0450
g000LR0018	g000ss0112	g0000:r0000:y0400:e0000:w0400:b0800
g000LR0018	g000ss0113	g0000:r0000:y0400:e0000:w0400:b0800
g000LR0018	g000ss0114	g0000:r0000:y0150:e0250:w0000:b0400
g000LR0018	g000ss0115	g0000:r0000:y0300:e0450:w0000:b0800
g000LR0018	g000ss0116	g0000:r0000:y0600:e0000:w0300:b0800
g000LR0018	g000ss0117	g0000:r0000:y0500:e0450:w0300:b1250
g000LR0018	g000ss0118	g0000:r0000:y0300:e0500:w0450:b1250
g000LR0018	g000ss0119	g0000:r0000:y0450:e0500:w0300:b1250
g000LR0018	g000ss0120	g0000:r0000:y0550:e0300:w0400:b1250
