MODIF_ID	SOURCE
g001um7541	3
g200um0016	3
g200um0017	3
g200um0018	0
g000um4104	3
g000um4105	0
g000um4106	3
g000um4107	1
g000um4108	1
g000um4109	1
g002um0069	3
g002um0070	3
g002um0071	3
g201um9044	1
g005um0178	3
g005um0179	3
g005um0180	0
g005um0181	0
g005um0182	0
g005um0183	0
g005um0184	3
g005um0185	3
g005um0186	3
g005um0187	3
g006um0010	0
g006um0011	0
g006um0012	0
g006um0013	0
g006um0014	0
g006um0015	0
g006um0016	0
g006um0022	0
g006um0023	0
g006um0024	0
g006um0025	0
g006um0026	0
g201um9045	0
g201um9046	0
g201um9047	0
g201um9048	0
g000um1222	0
g006um0027	0
g006um0028	0
g006um0029	0
g006um0030	0
g006um0031	3
g006um0032	3
g006um0033	1
g006um0034	3
g201um9049	0
g201um9050	0
g201um9051	0
g201um9055	0
g201um9057	0
g201um9058	0
g201um9059	0
g201um9060	0
g201um9061	0
g201um9063	0
g201um9066	0
g201um9070	0
g201um9071	0
g201um9073	0
g201um9081	0
g201um9082	0
g201um9083	0
g201um9087	0
g201um9089	0
g201um9090	0
g201um9091	0
g201um9092	0
g201um9093	0
g201um9095	0
g201um9098	0
g201um9102	0
g201um9103	0
g201um9105	0
