SPELL_ID	CATEGORY	LEVEL	CASTING_C	AREA
g000ss0056	0	4	g0000:r0200:y0100:e0100:w0000	1
g000ss0050	1	2	g0000:r0200:y0000:e0000:w0000	1
g000ss0057	0	4	g0000:r0200:y0075:e0125:w0000	1
g000ss0058	4	5	g0000:r0400:y0180:e0240:w0135	1
g000ss0059	4	5	g0000:r0200:y0000:e0000:w0000	1
g000ss0060	0	5	g0000:r0250:y0070:e0080:w0100	1
g000ss0061	4	1	g0000:r0000:y0000:e0100:w0000	1
g000ss0062	0	1	g0000:r0000:y0000:e0100:w0000	1
g000ss0063	0	1	g0000:r0000:y0000:e0100:w0000	1
g000ss0064	1	1	g0000:r0000:y0000:e0100:w0000	1
g000ss0066	4	2	g0000:r0000:y0000:e0200:w0000	1
g000ss0067	0	2	g0000:r0000:y0000:e0200:w0000	1
g000ss0065	1	1	g0000:r0000:y0000:e0100:w0000	1
g000ss0068	6	2	g0000:r0000:y0000:e0200:w0000	7
g000ss0071	4	3	g0000:r0150:y0000:e0150:w0000	1
g000ss0072	0	3	g0000:r0150:y0000:e0150:w0000	1
g000ss0070	0	2	g0000:r0000:y0000:e0200:w0000	1
g000ss0069	1	2	g0000:r0000:y0000:e0200:w0000	1
g000ss0073	1	3	g0000:r0150:y0000:e0150:w0000	1
g000ss0074	6	3	g0000:r0150:y0000:e0150:w0000	9
g000ss0076	1	4	g0000:r0100:y0000:e0200:w0100	1
g000ss0077	0	4	g0000:r0125:y0000:e0200:w0075	1
g000ss0075	1	4	g0000:r0100:y0000:e0200:w0100	1
g000ss0078	4	5	g0000:r0225:y0135:e0400:w0200	1
g000ss0079	3	5	g0000:r0070:y0100:e0250:w0080	1
g000ss0080	0	5	g0000:r0100:y0082:e0250:w0070	1
g000ss0081	0	3	g0000:r0225:y0225:e0000:w0000	3
g000ss0082	2	4	g0000:r0150:y0300:e0000:w0150	5
g000ss0083	7	4	g0000:r0200:y0400:e0200:w0000	999
g000ss0084	2	5	g0000:r0160:y0500:e0160:w0180	999
g000ss0085	3	3	g0000:r0000:y0225:e0000:w0225	5
g000ss0086	0	4	g0000:r0000:y0150:e0150:w0300	5
g000ss0087	8	4	g0000:r0000:y0200:e0200:w0400	999
g000ss0088	3	5	g0000:r0160:y0180:e0160:w0500	999
g000ss0089	1	3	g0000:r0225:y0000:e0225:w0000	5
g000ss0090	0	4	g0000:r0400:y0200:e0200:w0000	5
g000ss0091	1	4	g0000:r0300:y0000:e0150:w0150	7
g000ss0092	9	5	g0000:r0500:y0160:e0180:w0160	999
g000ss0093	0	3	g0000:r0000:y0000:e0225:w0225	3
g000ss0094	1	4	g0000:r0200:y0000:e0400:w0200	7
g000ss0095	6	4	g0000:r0000:y0200:e0400:w0200	999
g000ss0096	0	5	g0000:r0135:y0120:e0375:w0120	7
g000ss0097	0	1	g0000:r0000:y0000:e0000:w0000:b0100	1
g000ss0098	4	1	g0000:r0000:y0000:e0000:w0000:b0100	1
g000ss0099	1	1	g0000:r0000:y0000:e0000:w0000:b0100	1
g000ss0100	8	2	g0000:r0000:y0000:e0000:w0000:b0200	1
g000ss0101	1	1	g0000:r0000:y0000:e0000:w0000:b0100	1
g000ss0102	2	2	g0000:r0000:y0000:e0000:w0000:b0200	1
g000ss0103	4	2	g0000:r0000:y0000:e0000:w0000:b0200	1
g000ss0104	0	2	g0000:r0000:y0000:e0000:w0000:b0200	1
g000ss0105	0	2	g0000:r0000:y0000:e0000:w0000:b0200	1
g000ss0106	1	1	g0000:r0000:y0000:e0000:w0000:b0150	1
g000ss0107	11	3	g0000:r0000:y0150:e0000:w0000:b0150	3
g000ss0108	4	3	g0000:r0000:y0150:e0000:w0000:b0150	1
g000ss0109	0	3	g0000:r0000:y0150:e0000:w0000:b0150	1
g000ss0110	2	3	g0000:r0000:y0225:e0000:w0000:b0225	3
g000ss0111	1	3	g0000:r0000:y0000:e0150:w0000:b0150	1
g000ss0112	0	4	g0000:r0000:y0200:e0000:w0200:b0300	5
g000ss0113	0	4	g0000:r0000:y0100:e0000:w0100:b0200	1
g000ss0114	1	4	g0000:r0000:y0075:e0075:w0000:b0150	1
g000ss0115	1	4	g0000:r0000:y0100:e0100:w0000:b0200	1
g000ss0116	3	4	g0000:r0000:y0200:e0000:w0200:b0400	1
g000ss0117	4	5	g0000:r0000:y0240:e0180:w0110:b0400	1
g000ss0118	0	5	g0000:r0000:y0100:e0080:w0070:b0250	1
g000ss0119	10	5	g0000:r0000:y0080:e0060:w0110:b0250	1
g000ss0120	11	5	g0000:r0000:y0110:e0060:w0060:b0275	7
g000ss0121	2	2	g0000:r0000:y0275:e0000:w0000:b0000	1
g000ss0122	2	2	g0000:r0275:y0000:e0000:w0000:b0000	1
g000ss0123	2	2	g0000:r0000:y0000:e0000:w0275:b0000	1
g000ss0124	2	2	g0000:r0000:y0000:e0275:w0000:b0000	1
g000ss0125	2	2	g0000:r0000:y0000:e0000:w0000:b0275	1
g000ss0126	3	2	g0000:r0000:y0200:e0000:w0000:b0000	1
g000ss0127	3	2	g0000:r0200:y0000:e0000:w0000:b0000	1
g000ss0128	3	2	g0000:r0000:y0000:e0000:w0000:b0200	1
g000ss0129	3	2	g0000:r0000:y0000:e0200:w0000:b0000	1
g000ss0130	3	2	g0000:r0000:y0000:e0000:w0200:b0000	1
g000ss0131	1	2	g0000:r0000:y0100:e0000:w0000:b0000	7
g000ss0132	1	2	g0000:r0100:y0000:e0000:w0000:b0000	7
g000ss0133	1	2	g0000:r0000:y0000:e0000:w0000:b0100	7
g000ss0134	1	2	g0000:r0000:y0000:e0100:w0000:b0000	7
g000ss0135	1	2	g0000:r0000:y0000:e0000:w0100:b0000	7
g000ss0136	4	5	g0000:r0200:y0200:e0200:w0200:b0200	1
g000ss0137	4	5	g0000:r0200:y0200:e0200:w0200:b0200	1
g000ss0138	4	3	g0000:r0075:y0075:e0075:w0075:b0075	1
g000ss0139	4	3	g0000:r0075:y0075:e0075:w0075:b0075	1
g000ss0140	4	3	g0000:r0075:y0075:e0075:w0075:b0075	1
g000ss0141	4	3	g0000:r0075:y0075:e0075:w0075:b0075	1
g000ss0142	4	4	g0000:r0175:y0175:e0175:w0175:b0175	1
g000ss0143	4	5	g0000:r0200:y0200:e0200:w0200:b0200	1
g000ss0144	11	3	g0000:r0050:y0050:e0050:w0050:b0050	3
g000ss0145	11	5	g0000:r0100:y0100:e0100:w0100:b0100	5
g000ss0146	11	2	g0000:r0025:y0025:e0025:w0025:b0025	1
g000ss0147	11	3	g0000:r0150:y0000:e0150:w0000:b0000	3
g000ss0148	11	5	g0000:r0165:y0040:e0165:w0130:b0000	7
g000ss0149	3	3	g0000:r0000:y0150:e0150:w0000:b0000	1
g000ss0150	12	1	g0000:r0000:y0000:e0000:w0000:b0050	1
g000ss0151	12	4	g0000:r0000:y0150:e0000:w0150:b0150	1
g000ss0152	12	4	g0000:r0225:y0000:e0225:w0000:b0000	1
g000ss0153	0	2	g0000:r0025:y0050:e0025:w0025:b0025	1
g000ss0154	0	2	g0000:r0100:y0075:e0000:w0000:b0000	1
g000ss0155	0	2	g0000:r0000:y0075:e0000:w0000:b0100	1
g000ss0156	0	2	g0000:r0000:y0075:e0100:w0000:b0000	1
g000ss0157	0	2	g0000:r0000:y0075:e0000:w0100:b0000	1
g000ss0158	6	4	g0000:r0150:y0050:e0150:w0050:b0050	17
g000ss0159	1	3	g0000:r0150:y0000:e0150:w0000:b0000	1
g000ss0160	3	4	g0000:r0050:y0200:e0000:w0150:b0100	999
g000ss0161	3	4	g0000:r0000:y0100:e0075:w0200:b0125	999
g000ss0162	3	4	g0000:r0000:y0075:e0150:w0075:b0200	999
g000ss0163	3	4	g0000:r0200:y0050:e0175:w0000:b0075	999
g000ss0164	3	4	g0000:r0250:y0075:e0100:w0075:b0000	999
g000ss0165	3	5	g0000:r0225:y0200:e0300:w0100:b0175	999
g000ss0166	3	5	g0000:r0175:y0150:e0325:w0250:b0100	999
g000ss0167	3	4	g0000:r0125:y0000:e0075:w0075:b0225	999
g000ss0168	3	4	g0000:r0000:y0125:e0050:w0250:b0075	999
g000ss0169	3	4	g0000:r0100:y0225:e0000:w0125:b0050	999
g000ss0170	3	4	g0000:r0175:y0100:e0050:w0000:b0175	999
g000ss0171	3	5	g0000:r0050:y0275:e0100:w0225:b0350	999
g000ss0172	3	4	g0000:r0075:y0225:e0175:w0075:b0000	999
g000ss0173	1	1	g0000:r0025:y0025:e0025:w0025:b0025	999
