ITEM_CAT	ITEM_ID	VALUE
2	G000IG3004	g2200:r0000:y0000:e0000:w0000
1	G000IG3005	g2500:r0000:y0000:e0000:w0000
2	G000IG3006	g3750:r0000:y0000:e0000:w0000
2	G000IG3007	g5000:r0000:y0000:e0000:w0000
1	G000IG4001	g1800:r0000:y0000:e0000:w0000
1	G000IG4002	g2500:r0000:y0000:e0000:w0000
1	G000IG4003	g2500:r0000:y0000:e0000:w0000
8	G000IG5001	g0300:r0000:y0000:e0000:w0000
8	G000IG5002	g0200:r0000:y0000:e0000:w0000
8	G000IG5003	g0200:r0000:y0000:e0000:w0000
8	G000IG5004	g0200:r0000:y0000:e0000:w0000
8	G000IG5005	g0300:r0000:y0000:e0000:w0000
8	G000IG5006	g0400:r0000:y0000:e0000:w0000
8	G000IG5007	g0400:r0000:y0000:e0000:w0000
8	G000IG5008	g0400:r0000:y0000:e0000:w0000
8	G000IG5009	g0400:r0000:y0000:e0000:w0000
8	G000IG5010	g0300:r0000:y0000:e0000:w0000
8	G000IG5011	g0400:r0000:y0000:e0000:w0000
8	G000IG5012	g0600:r0000:y0000:e0000:w0000
8	G000IG5013	g0600:r0000:y0000:e0000:w0000
8	G000IG5014	g0600:r0000:y0000:e0000:w0000
8	G000IG5015	g0800:r0000:y0000:e0000:w0000
8	G000IG5016	g0300:r0000:y0000:e0000:w0000
8	G000IG5017	g0800:r0000:y0000:e0000:w0000
8	G000IG5018	g0500:r0000:y0000:e0000:w0000
8	G000IG5019	g1000:r0000:y0000:e0000:w0000
8	G000IG5020	g1000:r0000:y0000:e0000:w0000
8	G000IG5021	g0200:r0000:y0000:e0000:w0000
8	G000IG5022	g0200:r0000:y0000:e0000:w0000
8	G000IG5023	g0200:r0000:y0000:e0000:w0000
8	G000IG5024	g0200:r0000:y0000:e0000:w0000
8	G000IG5025	g0200:r0000:y0000:e0000:w0000
8	G000IG5026	g0400:r0000:y0000:e0000:w0000
8	G000IG5027	g0400:r0000:y0000:e0000:w0000
8	G000IG5028	g0400:r0000:y0000:e0000:w0000
8	G000IG5029	g0400:r0000:y0000:e0000:w0000
8	G000IG5030	g0400:r0000:y0000:e0000:w0000
8	G000IG5031	g0600:r0000:y0000:e0000:w0000
8	G000IG5032	g0600:r0000:y0000:e0000:w0000
8	G000IG5033	g0600:r0000:y0000:e0000:w0000
8	G000IG5034	g0600:r0000:y0000:e0000:w0000
8	G000IG5035	g0800:r0000:y0000:e0000:w0000
8	G000IG5036	g0800:r0000:y0000:e0000:w0000
8	G000IG5037	g0800:r0000:y0000:e0000:w0000
8	G000IG5038	g1000:r0000:y0000:e0000:w0000
8	G000IG5039	g1000:r0000:y0000:e0000:w0000
8	G000IG5040	g2000:r0000:y0000:e0000:w0000
8	G000IG5041	g0200:r0000:y0000:e0000:w0000
8	G000IG5042	g0200:r0000:y0000:e0000:w0000
8	G000IG5043	g0200:r0000:y0000:e0000:w0000
8	G000IG5044	g0200:r0000:y0000:e0000:w0000
8	G000IG5045	g0200:r0000:y0000:e0000:w0000
8	G000IG5046	g0400:r0000:y0000:e0000:w0000
8	G000IG5047	g0400:r0000:y0000:e0000:w0000
8	G000IG5048	g0400:r0000:y0000:e0000:w0000
8	G000IG5049	g0400:r0000:y0000:e0000:w0000
8	G000IG5050	g0400:r0000:y0000:e0000:w0000
8	G000IG5051	g0600:r0000:y0000:e0000:w0000
8	G000IG5052	g0600:r0000:y0000:e0000:w0000
8	G000IG5053	g0600:r0000:y0000:e0000:w0000
8	G000IG5054	g0600:r0000:y0000:e0000:w0000
8	G000IG5055	g0800:r0000:y0000:e0000:w0000
8	G000IG5056	g0800:r0000:y0000:e0000:w0000
8	G000IG5057	g0800:r0000:y0000:e0000:w0000
8	G000IG5058	g1000:r0000:y0000:e0000:w0000
8	G000IG5059	g1000:r0000:y0000:e0000:w0000
8	G000IG5060	g1000:r0000:y0000:e0000:w0000
8	G000IG5061	g0200:r0000:y0000:e0000:w0000
8	G000IG5062	g0200:r0000:y0000:e0000:w0000
8	G000IG5063	g0200:r0000:y0000:e0000:w0000
8	G000IG5064	g0200:r0000:y0000:e0000:w0000
8	G000IG5065	g0200:r0000:y0000:e0000:w0000
8	G000IG5066	g0400:r0000:y0000:e0000:w0000
8	G000IG5067	g0400:r0000:y0000:e0000:w0000
9	G000IG6001	g0600:r0000:y0000:e0000:w0000
9	G000IG6002	g0600:r0000:y0000:e0000:w0000
9	G000IG6003	g1200:r0000:y0000:e0000:w0000
9	G000IG6004	g1800:r0000:y0000:e0000:w0000
9	G000IG6005	g1200:r0000:y0000:e0000:w0000
9	G000IG6006	g1200:r0000:y0000:e0000:w0000
9	G000IG6007	g1200:r0000:y0000:e0000:w0000
9	G000IG6008	g1800:r0000:y0000:e0000:w0000
9	G000IG6009	g2400:r0000:y0000:e0000:w0000
9	G000IG6010	g3000:r0000:y0000:e0000:w0000
10	G000IG7001	g0250:r0000:y0000:e0000:w0000
10	G000IG7002	g0500:r0000:y0000:e0000:w0000
10	G000IG7003	g0750:r0000:y0000:e0000:w0000
10	G000IG7004	g1000:r0000:y0000:e0000:w0000
10	G000IG7005	g1250:r0000:y0000:e0000:w0000
10	G000IG7006	g1500:r0000:y0000:e0000:w0000
10	G000IG7007	g1750:r0000:y0000:e0000:w0000
10	G000IG7008	g2000:r0000:y0000:e0000:w0000
10	G000IG7009	g2500:r0000:y0000:e0000:w0000
1	G000IG7010	g4250:r0000:y0000:e0000:w0000
9	G000IG6011	g1800:r0000:y0000:e0000:w0000
9	G000IG6012	g0600:r0000:y0000:e0000:w0000
9	G000IG6013	g1800:r0000:y0000:e0000:w0000
8	G000IG5068	g0400:r0000:y0000:e0000:w0000
8	G000IG5069	g0400:r0000:y0000:e0000:w0000
8	G000IG5070	g0400:r0000:y0000:e0000:w0000
8	G000IG5071	g0600:r0000:y0000:e0000:w0000
8	G000IG5072	g0600:r0000:y0000:e0000:w0000
8	G000IG5073	g0600:r0000:y0000:e0000:w0000
8	G000IG5074	g0600:r0000:y0000:e0000:w0000
8	G000IG5075	g0800:r0000:y0000:e0000:w0000
8	G000IG5076	g0800:r0000:y0000:e0000:w0000
8	G000IG5077	g0800:r0000:y0000:e0000:w0000
8	G000IG5078	g1000:r0000:y0000:e0000:w0000
8	G000IG5079	g1000:r0000:y0000:e0000:w0000
8	G000IG5080	g1000:r0000:y0000:e0000:w0000
1	G000IG3008	g3000:r0000:y0000:e0000:w0000
1	G000IG2006	g3000:r0000:y0000:e0000:w0000
9	G000IG6014	g1800:r0000:y0000:e0000:w0000
1	G000IG4004	g2500:r0000:y0000:e0000:w0000
8	G000IG5081	g0900:r0000:y0000:e0000:w0000
8	G000IG5082	g1200:r0000:y0000:e0000:w0000
8	G000IG5083	g1600:r0000:y0000:e0000:w0000
8	G000IG5084	g2000:r0000:y0000:e0000:w0000
8	G000IG5085	g0900:r0000:y0000:e0000:w0000
8	G000IG5086	g1200:r0000:y0000:e0000:w0000
8	G000IG5087	g1600:r0000:y0000:e0000:w0000
8	G000IG5088	g2000:r0000:y0000:e0000:w0000
8	G000IG5089	g0900:r0000:y0000:e0000:w0000
8	G000IG5090	g1200:r0000:y0000:e0000:w0000
8	G000IG5091	g1600:r0000:y0000:e0000:w0000
8	G000IG5092	g2000:r0000:y0000:e0000:w0000
8	G000IG5093	g0900:r0000:y0000:e0000:w0000
8	G000IG5094	g1200:r0000:y0000:e0000:w0000
8	G000IG5095	g1600:r0000:y0000:e0000:w0000
8	G000IG5096	g1500:r0000:y0000:e0000:w0000
4	G000IG0017	g0700:r0000:y0000:e0000:w0000
5	G000IG0018	g0600:r0000:y0000:e0000:w0000
4	G000IG0019	g0700:r0000:y0000:e0000:w0000
4	G000IG0020	g0700:r0000:y0000:e0000:w0000
4	G000IG0021	g0400:r0000:y0000:e0000:w0000
4	G000IG0022	g0400:r0000:y0000:e0000:w0000
4	G000IG0023	g0400:r0000:y0000:e0000:w0000
4	G000IG0024	g0400:r0000:y0000:e0000:w0000
3	G000IG1015	g5000:r0000:y0000:e0000:w0000
3	G000IG1016	g5000:r0000:y0000:e0000:w0000
2	G000IG3015	g2100:r0000:y0000:e0000:w0000
2	G000IG3016	g2100:r0000:y0000:e0000:w0000
2	G000IG3017	g2050:r0000:y0000:e0000:w0000
2	G000IG3018	g2000:r0000:y0000:e0000:w0000
2	G000IG3019	g4100:r0000:y0000:e0000:w0000
1	G000IG3020	g3750:r0000:y0000:e0000:w0000
2	G000IG3021	g2500:r0000:y0000:e0000:w0000
1	G000IG4005	g0600:r0000:y0000:e0000:w0000
1	G000IG4006	g0900:r0000:y0000:e0000:w0000
1	G000IG4007	g1200:r0000:y0000:e0000:w0000
9	G000IG6015	g3600:r0000:y0000:e0000:w0000
9	G000IG6016	g4800:r0000:y0000:e0000:w0000
9	G000IG6017	g4800:r0000:y0000:e0000:w0000
9	G000IG6018	g6000:r0000:y0000:e0000:w0000
13	G000IG8003	g0400:r0000:y0000:e0000:w0000
13	G000IG8004	g1200:r0000:y0000:e0000:w0000
13	G000IG8005	g2000:r0000:y0000:e0000:w0000
11	G000IG9001	g1000:r0000:y0000:e0000:w0000
11	G000IG9002	g0000:r0000:y0500:e0000:w0000
11	G000IG9003	g0000:r0000:y0000:e0000:w0500
11	G000IG9004	g1000:r0000:y0000:e0000:w0000
11	G000IG9005	g0000:r0500:y0000:e0000:w0000
11	G000IG9006	g0800:r0000:y0000:e0000:w0000
11	G000IG9007	g0400:r0000:y0000:e0000:w0000
11	G000IG9008	g2750:r0000:y0000:e0000:w0000
11	G000IG9009	g0800:r0000:y0000:e0000:w0000
11	G000IG9010	g0000:r0000:y0000:e0500:w0000
11	G000IG9011	g1000:r0000:y0000:e0000:w0000
11	G000IG9012	g0800:r0000:y0000:e0000:w0000
11	G000IG9013	g0400:r0000:y0000:e0000:w0000
11	G000IG9014	g0600:r0000:y0000:e0000:w0000
11	G000IG9015	g0000:r0000:y0000:e0000:w0000:b0500
11	G000IG9016	g0150:r0000:y0000:e0000:w0000
11	G000IG9017	g0200:r0000:y0000:e0000:w0000
11	G000IG9018	g0600:r0000:y0000:e0000:w0000
11	G000IG9019	g0800:r0000:y0000:e0000:w0000
11	G000IG9020	g0400:r0000:y0000:e0000:w0000
11	G000IG9021	g0600:r0000:y0000:e0000:w0000
11	G000IG9022	g0400:r0000:y0000:e0000:w0000
11	G000IG9023	g0600:r0000:y0000:e0000:w0000
11	G000IG9024	g0600:r0000:y0000:e0000:w0000
11	G000IG9025	g0800:r0000:y0000:e0000:w0000
11	G000IG9026	g1000:r0000:y0000:e0000:w0000
11	G000IG9027	g0400:r0000:y0000:e0000:w0000
11	G000IG9028	g0600:r0000:y0000:e0000:w0000
11	G000IG9029	g0400:r0000:y0000:e0000:w0000
11	G000IG9030	g0600:r0000:y0000:e0000:w0000
11	G000IG9031	g0400:r0000:y0000:e0000:w0000
11	G000IG9032	g0600:r0000:y0000:e0000:w0000
11	G000IG9033	g0400:r0000:y0000:e0000:w0000
11	G000IG9034	g1800:r0000:y0000:e0000:w0000
2	G000IG9035	g2000:r0000:y0000:e0000:w0000
11	G000IG9036	g0800:r0000:y0000:e0000:w0000
12	G000IG9037	g0655:r0000:y0000:e0000:w0000
11	G000IG9038	g0600:r0000:y0000:e0000:w0000
11	G000IG9039	g0800:r0000:y0000:e0000:w0000
11	G000IG9040	g0800:r0000:y0000:e0000:w0000
12	G000IG9101	g0075:r0000:y0000:e0000:w0000
12	G000IG9102	g0800:r0000:y0000:e0000:w0000
12	G000IG9103	g0605:r0000:y0000:e0000:w0000
12	G000IG9104	g0880:r0000:y0000:e0000:w0000
12	G000IG9105	g0605:r0000:y0000:e0000:w0000
12	G000IG9106	g0460:r0000:y0000:e0000:w0000
12	G000IG9107	g0155:r0000:y0000:e0000:w0000
12	G000IG9108	g0605:r0000:y0000:e0000:w0000
12	G000IG9109	g0490:r0000:y0000:e0000:w0000
12	G000IG9110	g0490:r0000:y0000:e0000:w0000
12	G000IG9111	g1045:r0000:y0000:e0000:w0000
12	G000IG9112	g0820:r0000:y0000:e0000:w0000
12	G000IG9113	g0290:r0000:y0000:e0000:w0000
12	G000IG9114	g0155:r0000:y0000:e0000:w0000
12	G000IG9115	g0320:r0000:y0000:e0000:w0000
12	G000IG9116	g0460:r0000:y0000:e0000:w0000
12	G000IG9117	g1700:r0000:y0000:e0000:w0000
12	G000IG9118	g1125:r0000:y0000:e0000:w0000
12	G000IG9119	g1700:r0000:y0000:e0000:w0000
12	G000IG9120	g0725:r0000:y0000:e0000:w0000
12	G000IG9121	g0270:r0000:y0000:e0000:w0000
12	G000IG9122	g2065:r0000:y0000:e0000:w0000
12	G000IG9123	g1105:r0000:y0000:e0000:w0000
12	G000IG9124	g0305:r0000:y0000:e0000:w0000
12	G000IG9125	g0425:r0000:y0000:e0000:w0000
12	G000IG9126	g0475:r0000:y0000:e0000:w0000
12	G000IG9127	g0460:r0000:y0000:e0000:w0000
12	G000IG9128	g0700:r0000:y0000:e0000:w0000
12	G000IG9129	g0305:r0000:y0000:e0000:w0000
12	G000IG9130	g0670:r0000:y0000:e0000:w0000
12	G000IG9131	g0775:r0000:y0000:e0000:w0000
12	G000IG9132	g1125:r0000:y0000:e0000:w0000
12	G000IG9133	g0770:r0000:y0000:e0000:w0000
12	G000IG9134	g0500:r0000:y0000:e0000:w0000
12	G000IG9135	g1540:r0000:y0000:e0000:w0000
12	G000IG9136	g1030:r0000:y0000:e0000:w0000
2	G000IG9137	g3900:r0000:y0000:e0000:w0000
12	G000IG9138	g0350:r0000:y0000:e0000:w0000
12	G000IG9139	g1080:r0000:y0000:e0000:w0000
12	G000IG9140	g0740:r0000:y0000:e0000:w0000
14	G000IG7101	g0000:r0000:y0000:e0000:w0000
14	G000IG7102	g0000:r0000:y0000:e0000:w0000
14	G000IG7103	g0000:r0000:y0000:e0000:w0000
14	G000IG7104	g0000:r0000:y0000:e0000:w0000
14	G000IG7105	g0000:r0000:y0000:e0000:w0000
14	G000IG7106	g0000:r0000:y0000:e0000:w0000
14	G000IG7107	g0000:r0000:y0000:e0000:w0000
14	G000IG7108	g0000:r0000:y0000:e0000:w0000
14	G000IG7109	g0000:r0000:y0000:e0000:w0000
14	G000IG7110	g0000:r0000:y0000:e0000:w0000
14	G000IG7111	g0000:r0000:y0000:e0000:w0000
14	G000IG7112	g0000:r0000:y0000:e0000:w0000
14	G000IG7113	g0000:r0000:y0000:e0000:w0000
14	G000IG7114	g0000:r0000:y0000:e0000:w0000
14	G000IG7115	g0000:r0000:y0000:e0000:w0000
14	G000IG7116	g0000:r0000:y0000:e0000:w0000
14	G000IG7117	g0000:r0000:y0000:e0000:w0000
14	G000IG7118	g0000:r0000:y0000:e0000:w0000
14	G000IG7119	g0000:r0000:y0000:e0000:w0000
14	G000IG8501	g0000:r0000:y0000:e0000:w0000
14	G000IG8502	g0000:r0000:y0000:e0000:w0000
14	G000IG8503	g0000:r0000:y0000:e0000:w0000
0	G000IG2007	g1500:r0000:y0000:e0000:w0000
11	G000IG9041	g1000:r0000:y0000:e0000:w0000
12	G000IG9141	g0320:r0000:y0000:e0000:w0000
11	G000IG9042	g0600:r0000:y0000:e0000:w0000
3	G000IG1017	g5000:r0000:y0000:e0000:w0000
1	G000IG4008	g0900:r0000:y0000:e0000:w0000
11	G000IG9043	g1000:r0000:y0000:e0000:w0000
2	G000IG3022	g1500:r0000:y0000:e0000:w0000
8	G000IG5097	g0200:r0000:y0000:e0000:w0000
8	G000IG5098	g0200:r0000:y0000:e0000:w0000
8	G000IG5099	g0200:r0000:y0000:e0000:w0000
8	G000IG5100	g0200:r0000:y0000:e0000:w0000
8	G000IG5101	g0200:r0000:y0000:e0000:w0000
8	G000IG5102	g0400:r0000:y0000:e0000:w0000
8	G000IG5103	g0400:r0000:y0000:e0000:w0000
8	G000IG5104	g0400:r0000:y0000:e0000:w0000
8	G000IG5105	g0400:r0000:y0000:e0000:w0000
8	G000IG5106	g0400:r0000:y0000:e0000:w0000
8	G000IG5107	g0600:r0000:y0000:e0000:w0000
8	G000IG5108	g0600:r0000:y0000:e0000:w0000
8	G000IG5109	g0600:r0000:y0000:e0000:w0000
8	G000IG5110	g0600:r0000:y0000:e0000:w0000
8	G000IG5111	g0600:r0000:y0000:e0000:w0000
8	G000IG5112	g0800:r0000:y0000:e0000:w0000
8	G000IG5113	g0800:r0000:y0000:e0000:w0000
8	G000IG5114	g0800:r0000:y0000:e0000:w0000
8	G000IG5115	g0800:r0000:y0000:e0000:w0000
8	G000IG5116	g0800:r0000:y0000:e0000:w0000
8	G000IG5117	g1000:r0000:y0000:e0000:w0000
8	G000IG5118	g1000:r0000:y0000:e0000:w0000
8	G000IG5119	g1000:r0000:y0000:e0000:w0000
8	G000IG5120	g1000:r0000:y0000:e0000:w0000
14	G000IG9142	g0000:r0000:y0000:e0000:w0000
14	G000IG9143	g0000:r0000:y0000:e0000:w0000
14	G000IG9144	g0000:r0000:y0000:e0000:w0000
14	G000IG9145	g0000:r0000:y0000:e0000:w0000
14	G000IG9146	g0000:r0000:y0000:e0000:w0000
14	G000IG9147	g0000:r0000:y0000:e0000:w0000
14	G000IG9148	g0000:r0000:y0000:e0000:w0000
14	G000IG9149	g0000:r0000:y0000:e0000:w0000
9	G000IG6019	g1200:r0000:y0000:e0000:w0000
9	G000IG6020	g1800:r0000:y0000:e0000:w0000
9	G000IG6021	g1800:r0000:y0000:e0000:w0000
7	G001IG0001	g0000:r0000:y0000:e0000:w0000
7	G001IG0002	g0000:r0000:y0000:e0000:w0000
7	G001IG0003	g0000:r0000:y0000:e0000:w0000
7	G001IG0004	g0000:r0000:y0000:e0000:w0000
7	G001IG0005	g0000:r0000:y0000:e0000:w0000
7	G001IG0006	g0000:r0000:y0000:e0000:w0000
7	G001IG0007	g0000:r0000:y0000:e0000:w0000
7	G001IG0008	g0000:r0000:y0000:e0000:w0000
7	G001IG0009	g0000:r0000:y0000:e0000:w0000
7	G001IG0010	g0000:r0000:y0000:e0000:w0000
7	G001IG0011	g0000:r0000:y0000:e0000:w0000
7	G001IG0012	g0000:r0000:y0000:e0000:w0000
7	G001IG0013	g0000:r0000:y0000:e0000:w0000
7	G001IG0014	g0000:r0000:y0000:e0000:w0000
7	G001IG0015	g0000:r0000:y0000:e0000:w0000
7	G001IG0016	g0000:r0000:y0000:e0000:w0000
7	G001IG0017	g0000:r0000:y0000:e0000:w0000
7	G001IG0018	g0000:r0000:y0000:e0000:w0000
7	G001IG0019	g0000:r0000:y0000:e0000:w0000
7	G001IG0020	g0000:r0000:y0000:e0000:w0000
7	G001IG0021	g0000:r0000:y0000:e0000:w0000
7	G001IG0022	g0000:r0000:y0000:e0000:w0000
7	G001IG0023	g0000:r0000:y0000:e0000:w0000
7	G001IG0024	g0000:r0000:y0000:e0000:w0000
7	G001IG0025	g0000:r0000:y0000:e0000:w0000
7	G001IG0026	g0000:r0000:y0000:e0000:w0000
7	G001IG0027	g0000:r0000:y0000:e0000:w0000
7	G001IG0028	g0000:r0000:y0000:e0000:w0000
7	G001IG0029	g0000:r0000:y0000:e0000:w0000
7	G001IG0030	g0000:r0000:y0000:e0000:w0000
7	G001IG0031	g0000:r0000:y0000:e0000:w0000
7	G001IG0032	g0000:r0000:y0000:e0000:w0000
7	G001IG0033	g0000:r0000:y0000:e0000:w0000
7	G001IG0034	g0000:r0000:y0000:e0000:w0000
7	G001IG0035	g0000:r0000:y0000:e0000:w0000
4	G001IG0036	g0400:r0000:y0000:e0000:w0000
1	G001IG0037	g2650:r0000:y0000:e0000:w0000
1	G001IG0038	g3150:r0000:y0000:e0000:w0000
0	G001IG0039	g3000:r0000:y0000:e0000:w0000
0	G001IG0040	g2950:r0000:y0000:e0000:w0000
0	G001IG0041	g2950:r0000:y0000:e0000:w0000
0	G001IG0042	g2600:r0000:y0000:e0000:w0000
0	G001IG0043	g3550:r0000:y0000:e0000:w0000
0	G001IG0044	g1200:r0000:y0000:e0000:w0000
0	G001IG0045	g2150:r0000:y0000:e0000:w0000
0	G001IG0046	g2050:r0000:y0000:e0000:w0000
0	G001IG0047	g2150:r0000:y0000:e0000:w0000
0	G001IG0048	g2600:r0000:y0000:e0000:w0000
13	G001IG0050	g2200:r0000:y0000:e0000:w0000
3	G001IG0051	g1000:r0000:y0000:e0000:w0000
3	G001IG0052	g5000:r0000:y0000:e0000:w0000
11	G001IG0053	g0600:r0000:y0000:e0000:w0000
11	G001IG0054	g0600:r0000:y0000:e0000:w0000
11	G001IG0055	g0600:r0000:y0000:e0000:w0000
11	G001IG0056	g0600:r0000:y0000:e0000:w0000
11	G001IG0057	g0600:r0000:y0000:e0000:w0000
11	G001IG0058	g0600:r0000:y0000:e0000:w0000
11	G001IG0059	g1200:r0000:y0000:e0000:w0000
0	G001IG0060	g2800:r0000:y0000:e0000:w0000
11	G001IG0061	g1000:r0000:y0000:e0000:w0000
11	G001IG0062	g1500:r0000:y0000:e0000:w0000
12	G001IG0063	g0275:r0000:y0000:e0000:w0000
12	G001IG0064	g0500:r0000:y0000:e0000:w0000
12	G001IG0065	g0710:r0000:y0000:e0000:w0000
12	G001IG0066	g0625:r0000:y0000:e0000:w0000
12	G001IG0067	g0640:r0000:y0000:e0000:w0000
12	G001IG0068	g0970:r0000:y0000:e0000:w0000
12	G001IG0069	g1570:r0000:y0000:e0000:w0000
12	G001IG0070	g1790:r0000:y0000:e0000:w0000
0	G001IG0071	g1875:r0000:y0000:e0000:w0000
8	G001IG0072	g0400:r0000:y0000:e0000:w0000
8	G001IG0073	g0200:r0000:y0000:e0000:w0000
8	G001IG0074	g0600:r0000:y0000:e0000:w0000
8	G001IG0075	g0600:r0000:y0000:e0000:w0000
8	G001IG0076	g0600:r0000:y0000:e0000:w0000
8	G001IG0077	g0600:r0000:y0000:e0000:w0000
8	G001IG0078	g0800:r0000:y0000:e0000:w0000
8	G001IG0079	g1000:r0000:y0000:e0000:w0000
8	G001IG0080	g1000:r0000:y0000:e0000:w0000
8	G001IG0081	g1000:r0000:y0000:e0000:w0000
12	G001IG0082	g0120:r0000:y0000:e0000:w0000
7	G001IG0083	g1000:r0000:y0000:e0000:w0000
8	G001IG0084	g0400:r0000:y0000:e0000:w0000
8	G001IG0085	g0600:r0000:y0000:e0000:w0000
8	G001IG0086	g1000:r0000:y0000:e0000:w0000
14	G001IG0087	g4000:r0000:y0000:e0000:w0000
14	G001IG0088	g4000:r0000:y0000:e0000:w0000
14	G001IG0089	g4000:r0000:y0000:e0000:w0000
10	G001IG0090	g5000:r0000:y0000:e0000:w0000
8	G001IG0091	g0600:r0000:y0000:e0000:w0000
8	G001IG0092	g1000:r0000:y0000:e0000:w0000
8	G001IG0093	g0600:r0000:y0000:e0000:w0000
8	G001IG0094	g0200:r0000:y0000:e0000:w0000
8	G001IG0095	g0500:r0000:y0000:e0000:w0000
9	G001IG0096	g1800:r0000:y0000:e0000:w0000
9	G001IG0097	g1200:r0000:y0000:e0000:w0000
9	G001IG0098	g1800:r0000:y0000:e0000:w0000
1	G001IG0099	g1500:r0000:y0000:e0000:w0000
2	G001IG0100	g0600:r0000:y0000:e0000:w0000
1	G001IG0101	g0600:r0000:y0000:e0000:w0000
2	G001IG0102	g4150:r0000:y0000:e0000:w0000
8	G001IG0103	g0500:r0000:y0000:e0000:w0000
1	G001IG0104	g1800:r0000:y0000:e0000:w0000
13	G001IG0105	g1600:r0000:y0000:e0000:w0000
13	G001IG0106	g1600:r0000:y0000:e0000:w0000
13	G001IG0107	g1600:r0000:y0000:e0000:w0000
13	G001IG0108	g1600:r0000:y0000:e0000:w0000
13	G001IG0109	g1600:r0000:y0000:e0000:w0000
13	G001IG0110	g0600:r0000:y0000:e0000:w0000
13	G001IG0111	g1200:r0000:y0000:e0000:w0000
13	G001IG0112	g2000:r0000:y0000:e0000:w0000
13	G001IG0113	g0600:r0000:y0000:e0000:w0000
13	G001IG0114	g1200:r0000:y0000:e0000:w0000
13	G001IG0115	g2000:r0000:y0000:e0000:w0000
1	G001IG0116	g2600:r0000:y0000:e0000:w0000
8	G001IG0117	g0400:r0000:y0000:e0000:w0000
9	G001IG0118	g1250:r0000:y0000:e0000:w0000
9	G001IG0119	g1250:r0000:y0000:e0000:w0000
9	G001IG0120	g1250:r0000:y0000:e0000:w0000
9	G001IG0121	g1250:r0000:y0000:e0000:w0000
9	G001IG0122	g1250:r0000:y0000:e0000:w0000
8	G001IG0123	g0800:r0000:y0000:e0000:w0000
0	G001IG0124	g3900:r0000:y0000:e0000:w0000
4	G001IG0125	g0800:r0000:y0000:e0000:w0000
4	G001IG0126	g0800:r0000:y0000:e0000:w0000
4	G001IG0127	g0800:r0000:y0000:e0000:w0000
4	G001IG0128	g0800:r0000:y0000:e0000:w0000
4	G001IG0129	g0800:r0000:y0000:e0000:w0000
7	G001IG0130	g1500:r0000:y0000:e0000:w0000
11	G001IG0131	g0400:r0000:y0000:e0000:w0000
11	G001IG0132	g0400:r0000:y0000:e0000:w0000
11	G001IG0133	g0400:r0000:y0000:e0000:w0000
11	G001IG0134	g0400:r0000:y0000:e0000:w0000
11	G001IG0135	g0400:r0000:y0000:e0000:w0000
11	G001IG0136	g0800:r0000:y0000:e0000:w0000
11	G001IG0137	g0400:r0000:y0000:e0000:w0000
11	G001IG0138	g0600:r0000:y0000:e0000:w0000
3	G001IG0139	g2000:r0000:y0000:e0000:w0000
3	G001IG0140	g2000:r0000:y0000:e0000:w0000
3	G001IG0141	g2000:r0000:y0000:e0000:w0000
3	G001IG0142	g2000:r0000:y0000:e0000:w0000
3	G001IG0143	g2000:r0000:y0000:e0000:w0000
3	G001IG0144	g4000:r0000:y0000:e0000:w0000
3	G001IG0145	g2000:r0000:y0000:e0000:w0000
