UPGRADE_ID	ENROLL_C	HIT_POINT	ARMOR	REGEN	REVIVE_C	HEAL_C	TRAINING_C	XP_KILLED	XP_NEXT	MOVE	NEGOTIATE	DAMAGE	HEAL	INITIATIVE	POWER
g000DU0025	g0650:r0000:y0000:e0000:w0000	20	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	61	100	1	2	10	0	0	1
g000DU0026	g0005:r0000:y0000:e0000:w0000	5	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	3	0	0	0	3	0	0	1
g000DU0027	g0025:r0000:y0000:e0000:w0000	20	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	18	50	1	2	9	0	0	1
g000DU0028	g0075:r0000:y0000:e0000:w0000	10	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	18	0	0	0	3	0	0	1
g000DU0029	g0010:r0000:y0000:e0000:w0000	20	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	15	0	1	2	6	0	0	1
g000DU0030	g0100:r0000:y0000:e0000:w0000	90	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	41	250	1	2	15	0	0	1
g000DU0031	g0140:r0000:y0000:e0000:w0000	35	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	49	0	0	0	5	0	0	1
g000DU0032	g0130:r0000:y0000:e0000:w0000	40	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	39	0	0	0	12	0	0	1
g000DU0033	g0005:r0000:y0000:e0000:w0000	5	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	5	0	0	0	0	0	0	1
g000DU0034	g0025:r0000:y0000:e0000:w0000	15	1	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	7	0	0	0	0	0	0	1
g000DU0035	g0065:r0000:y0000:e0000:w0000	25	1	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	10	0	0	0	0	0	0	1
g000DU0036	g0005:r0000:y0000:e0000:w0000	15	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	4	0	1	2	3	0	0	1
g000DU0037	g0030:r0000:y0000:e0000:w0000	20	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	9	0	0	0	6	0	0	1
g000DU0038	g0085:r0000:y0000:e0000:w0000	25	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	16	0	0	0	8	0	0	1
g000DU0039	g0325:r0000:y0000:e0000:w0000	20	4	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	41	0	0	0	10	0	0	1
g000DU0040	g0180:r0000:y0000:e0000:w0000	30	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	22	0	0	0	10	0	0	1
g000DU0041	g0065:r0000:y0000:e0000:w0000	10	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	14	0	0	0	5	0	0	1
g000DU0043	g0100:r0000:y0000:e0000:w0000	15	2	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	33	175	0	0	10	0	0	1
g000DU0044	g0100:r0000:y0000:e0000:w0000	15	3	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	18	420	2	5	5	0	0	1
g000DU0045	g0100:r0000:y0000:e0000:w0000	15	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	15	405	2	5	4	0	0	1
g000DU0046	g0100:r0000:y0000:e0000:w0000	15	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	15	485	2	5	4	0	0	0
g000DU0047	g0100:r0000:y0000:e0000:w0000	10	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	10	300	2	5	5	0	0	1
g000DU0048	g0050:r0000:y0000:e0000:w0000	10	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	5	125	1	3	5	0	0	1
g000DU0049	g0100:r0000:y0000:e0000:w0000	20	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	15	200	1	2	10	0	0	0
g000DU0050	g0360:r0000:y0000:e0000:w0000	25	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	39	100	1	2	5	0	0	1
g000DU0051	g1060:r0000:y0000:e0000:w0000	40	5	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	43	100	1	2	40	0	0	1
g000DU0052	g0005:r0000:y0000:e0000:w0000	10	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	2	0	0	0	3	0	0	1
g000DU0053	g0030:r0000:y0000:e0000:w0000	15	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	7	0	1	2	5	0	0	1
g000DU0054	g0085:r0000:y0000:e0000:w0000	20	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	15	0	0	0	8	0	0	1
g000DU0055	g0025:r0000:y0000:e0000:w0000	10	1	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	10	0	0	0	4	0	0	1
g000DU0056	g0075:r0000:y0000:e0000:w0000	15	1	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	41	0	0	0	7	0	0	1
g000DU0057	g0010:r0000:y0000:e0000:w0000	20	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	15	0	0	0	5	0	0	1
g000DU0058	g0100:r0000:y0000:e0000:w0000	85	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	42	265	1	2	15	0	0	1
g000DU0059	g0130:r0000:y0000:e0000:w0000	35	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	55	250	0	0	20	0	0	1
g000DU0060	g0280:r0000:y0000:e0000:w0000	40	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	82	0	0	0	7	0	0	1
g000DU0061	g0260:r0000:y0000:e0000:w0000	55	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	65	100	0	0	15	0	0	1
g000DU0062	g0005:r0000:y0000:e0000:w0000	5	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	2	0	1	2	2	0	0	1
g000DU0063	g0025:r0000:y0000:e0000:w0000	10	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	6	0	0	0	3	0	0	1
g000DU0064	g0065:r0000:y0000:e0000:w0000	10	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	13	0	1	2	5	0	0	1
g000DU0065	g0130:r0000:y0000:e0000:w0000	20	1	1	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	14	0	0	0	0	0	0	1
g000DU0066	g0130:r0000:y0000:e0000:w0000	15	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	23	0	0	0	6	0	0	1
g000DU0067	g0025:r0000:y0000:e0000:w0000	15	1	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	9	0	0	0	0	0	0	1
g000DU0068	g0065:r0000:y0000:e0000:w0000	35	1	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	18	0	0	0	0	0	0	1
g000DU0069	g0100:r0000:y0000:e0000:w0000	30	0	2	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	34	150	0	0	10	0	0	2
g000DU0070	g0100:r0000:y0000:e0000:w0000	25	0	3	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	15	425	2	5	5	0	0	1
g000DU0071	g0100:r0000:y0000:e0000:w0000	15	0	3	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	15	380	2	5	2	0	0	1
g000DU0072	g0100:r0000:y0000:e0000:w0000	10	0	3	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	15	490	2	5	4	0	0	0
g000DU0073	g0100:r0000:y0000:e0000:w0000	15	0	2	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	10	255	2	5	0	0	0	1
g000DU0074	g0050:r0000:y0000:e0000:w0000	10	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	2	100	1	3	5	0	0	1
g000DU0075	g0100:r0000:y0000:e0000:w0000	15	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	15	200	1	2	5	0	0	1
g000DU0076	g0170:r0000:y0000:e0000:w0000	25	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	14	100	1	2	20	0	-5	1
g000DU0077	g1060:r0000:y0000:e0000:w0000	50	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	80	100	1	2	25	0	0	1
g000DU0078	g0005:r0000:y0000:e0000:w0000	5	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	2	0	0	0	0	0	0	1
g000DU0079	g0025:r0000:y0000:e0000:w0000	15	1	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	10	50	1	2	5	0	0	1
g000DU0080	g0005:r0000:y0000:e0000:w0000	5	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	2	0	0	0	2	0	0	1
g000DU0081	g0025:r0000:y0000:e0000:w0000	10	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	6	0	0	0	3	0	0	1
g000DU0082	g0065:r0000:y0000:e0000:w0000	10	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	15	0	1	2	5	0	0	1
g000DU0083	g0140:r0000:y0000:e0000:w0000	20	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	43	0	1	2	5	0	0	1
g000DU0084	g0140:r0000:y0000:e0000:w0000	15	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	30	0	1	2	7	0	0	1
g000DU0085	g0025:r0000:y0000:e0000:w0000	5	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	21	50	0	0	15	0	0	1
g000DU0086	g0005:r0000:y0000:e0000:w0000	10	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	2	-1	0	0	3	0	0	1
g000DU0087	g0030:r0000:y0000:e0000:w0000	15	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	7	0	1	2	5	0	0	1
g000DU0088	g0085:r0000:y0000:e0000:w0000	20	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	15	0	0	0	8	0	0	1
g000DU0089	g0180:r0000:y0000:e0000:w0000	30	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	24	0	1	2	10	0	0	1
g000DU0090	g0030:r0000:y0000:e0000:w0000	15	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	7	0	0	0	5	0	0	1
g000DU0091	g0085:r0000:y0000:e0000:w0000	15	1	1	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	25	75	0	0	10	0	0	1
g000DU0092	g0050:r0000:y0000:e0000:w0000	25	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	15	150	1	2	5	0	0	2
g000DU0093	g0010:r0000:y0000:e0000:w0000	25	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	16	0	0	0	3	0	0	1
g000DU0094	g0100:r0000:y0000:e0000:w0000	50	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	42	200	1	2	10	0	0	1
g000DU0095	g0140:r0000:y0000:e0000:w0000	40	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	64	0	1	2	6	0	0	1
g000DU0096	g0100:r0000:y0000:e0000:w0000	15	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	15	440	2	5	6	0	0	1
g000DU0097	g0100:r0000:y0000:e0000:w0000	10	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	15	550	2	5	3	0	0	0
g000DU0098	g0100:r0000:y0000:e0000:w0000	10	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	15	470	2	5	4	0	0	0
g000DU0099	g0100:r0000:y0000:e0000:w0000	10	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	10	255	2	5	7	0	0	1
g000DU0100	g0050:r0000:y0000:e0000:w0000	10	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	2	100	1	3	5	0	0	1
g000DU0101	g0100:r0000:y0000:e0000:w0000	10	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	15	100	1	2	10	0	0	1
g000DU0102	g0170:r0000:y0000:e0000:w0000	20	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	9	100	1	2	15	0	0	1
g000DU0103	g0360:r0000:y0000:e0000:w0000	15	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	31	100	1	2	10	0	0	1
g000DU0104	g1060:r0000:y0000:e0000:w0000	50	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	40	100	1	2	20	0	0	1
g000DU0150	g0130:r0000:y0000:e0000:w0000	15	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	34	0	0	0	0	6	0	1
g000DU0151	g0130:r0000:y0000:e0000:w0000	14	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	34	0	0	0	0	7	0	1
g000DU0152	g0130:r0000:y0000:e0000:w0000	10	3	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	27	0	1	2	10	0	0	1
g000DU0153	g0155:r0000:y0000:e0000:w0000	25	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	22	0	0	0	0	0	5	1
g000DU0154	g0090:r0000:y0000:e0000:w0000	15	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	28	0	1	2	6	0	0	1
g000DU0155	g0325:r0000:y0000:e0000:w0000	25	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	48	0	0	0	15	0	0	2
g000DU0156	g0325:r0000:y0000:e0000:w0000	25	4	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	53	0	1	2	15	0	0	1
g000DU0157	g0180:r0000:y0000:e0000:w0000	25	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	28	0	0	0	15	0	0	1
g000DU0158	g0280:r0000:y0000:e0000:w0000	50	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	90	0	1	2	15	0	0	3
g000DU0159	g0260:r0000:y0000:e0000:w0000	50	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	75	0	0	0	10	0	0	1
g000DU0160	g0130:r0000:y0000:e0000:w0000	25	2	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	16	0	0	0	0	0	0	1
g000DU0161	g0070:r0000:y0000:e0000:w0000	20	1	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	17	0	0	0	0	0	0	1
g000DU0162	g0040:r0000:y0000:e0000:w0000	30	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	28	0	0	0	10	0	0	1
g000DU0163	g0145:r0000:y0000:e0000:w0000	20	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	24	0	1	2	5	0	0	1
g000DU0164	g0230:r0000:y0000:e0000:w0000	30	0	5	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	31	0	0	0	0	0	5	1
g000DU0165	g0325:r0000:y0000:e0000:w0000	30	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	57	0	0	0	20	0	1	1
g000DU0166	g0180:r0000:y0000:e0000:w0000	40	0	2	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	32	0	0	0	7	0	0	1
g000DU0167	g0150:r0000:y0000:e0000:w0000	20	2	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	81	0	1	2	10	0	0	1
g000DU0168	g0500:r0000:y0000:e0000:w0000	125	1	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	130	0	1	2	25	0	3	2
g000DU0169	g0600:r0000:y0000:e0000:w0000	150	1	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	105	0	0	0	15	0	0	1
g000DU0170	g0600:r0000:y0000:e0000:w0000	100	2	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	95	0	1	2	15	0	0	2
g000DU0171	g0120:r0000:y0000:e0000:w0000	35	0	5	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	43	0	0	0	25	0	0	1
g000DU0172	g0300:r0000:y0000:e0000:w0000	20	0	2	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	42	0	0	0	15	0	0	1
