BELONGS_TO	DESC	TYPE	PERCENT	NUMBER	ABILITY	IMMUNITY	IMMUNECAT	MOVE	IMMUNITYC	IMMUNECATC
g000um1067	x000tg6000	4	45	0	0	0	2	0	0	0
g000um1068	x000tg6000	4	80	0	0	0	2	0	0	0
g000um6001	x000tg6000	5	0	50	0	0	2	0	0	0
g000um2206	x000tg6000	11	0	0	3	0	2	0	0	0
g000um2404	x000tg6000	12	0	0	0	4	2	0	0	0
g000um4016	x000tg6000	13	50	0	0	0	2	0	0	0
g000um4017	x000tg6000	6	20	1	0	0	2	0	0	0
g000um4018	x000tg6000	11	0	0	3	0	2	0	0	0
g000um0085	x000tgc085	4	20	0	0	0	0	0	0	0
g000um0088	x000tgc088	5	0	33	0	0	0	0	0	0
g000um0089	x000tgc089	3	-25	0	0	0	0	0	0	0
g000um0091	x000tgc091	9	-33	0	0	0	0	0	0	0
g000um0094	x000tgc094	7	-50	0	0	0	0	0	0	0
g000um2308	x000tg6000	11	0	0	3	0	2	0	0	0
g000um2017	x000tg6000	5	0	50	0	0	2	0	0	0
g000um2019	x000tg6000	9	60	0	0	0	2	0	0	0
g000um2020	x000tg6000	4	50	0	0	0	2	0	0	0
g000um2021	x000tg6000	12	0	0	0	7	2	0	0	0
g000um2022	x000tg6000	12	0	0	0	5	2	0	0	0
g000um2023	x000tg6000	12	0	0	0	6	2	0	0	0
g000um2024	x000tg6000	12	0	0	0	4	2	0	0	0
g000um2115	x000tg6000	5	0	20	0	0	0	0	0	0
g000um2116	x000tg6000	4	20	0	0	0	0	0	0	0
g000um2503	x000tg6000	7	20	0	0	0	0	0	0	0
g000um2504	x000tg6000	7	30	0	0	0	0	0	0	0
g000um2505	x000tg6000	7	40	0	0	0	0	0	0	0
g000um4019	x000tg6000	12	0	0	0	5	2	0	0	0
g000um4020	x000tg6000	10	0	0	0	0	0	1	0	0
g000um4021	x000tg6000	12	0	0	0	6	2	0	0	0
g000um4022	x000tg6000	9	25	0	0	0	0	0	0	0
g000um4023	x000tg6000	12	0	0	0	4	2	0	0	0
g000um4024	x000tg6000	12	0	0	0	7	2	0	0	0
g000um2405	x000tg6000	11	0	0	6	0	0	0	0	0
g000um2406	x000tg6000	11	0	0	14	0	0	0	0	0
g000um2407	x000tg6000	11	0	0	15	0	0	0	0	0
g000um7001	x000tg6000	2	0	-1	0	0	0	0	0	0
g000um9001	x000tg6001	6	20	1	0	0	0	0	0	0
g000um9002	x000tg6002	6	-20	1	0	0	0	0	0	0
g000um9003	x000tg6003	5	0	10	0	0	0	0	0	0
g000um9004	x000tg6004	5	0	-10	0	0	0	0	0	0
g000um9005	x000tg6005	3	10	0	0	0	0	0	0	0
g000um9006	x000tg6006	3	-10	0	0	0	0	0	0	0
g000um9007	x000tg6007	9	10	0	0	0	0	0	0	0
g000um9008	x000tg6008	9	-10	0	0	0	0	0	0	0
g000um9010	x000tg6010	4	-10	0	0	0	0	0	0	0
g000um9009	x000tg6009	4	10	0	0	0	0	0	0	0
g000um9011	x000tg6011	12	0	0	0	4	2	0	0	0
g000um9012	x000tg6012	12	0	0	0	7	2	0	0	0
g000um9013	x000tg6013	12	0	0	0	5	2	0	0	0
g000um9014	x000tg6014	12	0	0	0	6	2	0	0	0
g000um9015	x000tg6015	12	0	0	0	3	2	0	0	0
g000um9016	x000tg6016	12	0	0	0	1	2	0	0	0
g000um9017	x000tg6017	12	0	0	0	4	3	0	0	0
g000um9018	x000tg6018	12	0	0	0	7	3	0	0	0
g000um9019	x000tg6019	12	0	0	0	5	3	0	0	0
g000um9020	x000tg6020	12	0	0	0	6	3	0	0	0
g000um9021	x000tg6021	12	0	0	0	3	3	0	0	0
g000um9022	x000tg6022	12	0	0	0	1	3	0	0	0
g000um9023	x000tg6023	11	0	0	8	0	0	0	0	0
g000um9024	x000tg6024	11	0	0	10	0	0	0	0	0
g000um9025	x000tg6025	11	0	0	9	0	0	0	0	0
g000um9026	x000tg6026	11	0	0	16	0	0	0	0	0
g000um9027	x000tg6027	11	0	0	14	0	0	0	0	0
g000um9028	x000tg6028	11	0	0	15	0	0	0	0	0
g000um9029	x000tg6029	11	0	0	7	0	0	0	0	0
g000um9030	x000tg6030	11	0	0	3	0	0	0	0	0
g000um9031	x000tg6031	2	0	1	0	0	0	0	0	0
g000um9032	x000tg6032	2	0	-1	0	0	0	0	0	0
g000um9034	x000tg6034	7	-10	0	0	0	0	0	0	0
g000um9033	x000tg6033	7	10	0	0	0	0	0	0	0
g000um1222	x000tg6000	6	20	1	0	0	0	0	0	0
g000um9036	x000tg6036	10	0	0	0	0	0	1	0	0
g000um9037	x000tg6037	10	0	0	0	0	0	3	0	0
g000um2317	x000tg8817	15	25	0	0	0	0	0	0	0
g000um4101	x000tg6000	2	0	1	0	0	0	0	0	0
g000um4102	x000tg6000	2	0	1	0	0	0	0	0	0
g000um7538	x160tgc199	7	30	0	0	0	0	0	0	0
g000um7539	x160tgc200	7	-30	0	0	0	0	0	0	0
g000um7540	x160tgc201	4	-10	0	0	0	0	0	0	0
g000um7541	x160tgc206	9	-15	0	0	0	0	0	0	0
g000um7542	x160tgc211	3	-20	0	0	0	0	0	0	0
g000um7543	x160tgc214	5	0	-20	0	0	0	0	0	0
g000um7544	x160tgc215	4	-33	0	0	0	0	0	0	0
g000um7545	x160tgc216	6	50	2	0	0	0	0	0	0
g000um4103	x000tg6000	11	0	0	17	0	0	0	0	0
g000um7546	x160tgc474	16	0	0	0	0	0	0	0	0
g000um9035	x000tg6035	13	10	0	0	0	0	0	0	0
g000um7547	x160tgc484	12	0	0	0	1	2	0	0	0
g201um9001	x101tg6001	6	10	2	0	0	0	0	0	0
g000um7548	x160tgc488	17	25	0	0	0	0	0	0	0
g001um0001	x000tg6000	12	0	0	0	0	2	0	0	0
g001um0002	x000tgc001	12	0	0	0	3	2	0	0	0
g001um0005	x000tgc004	12	0	0	0	1	2	0	0	0
g001um0005	x000tgc005	13	25	0	0	0	2	0	0	0
g001um0005	x000tgc008	5	0	15	0	0	2	0	0	0
g001um0005	x160tgc216	6	50	2	0	0	2	0	0	0
g001um9035	x100tgc008	12	0	0	0	0	2	0	0	0
g100um9035	x100tg6011	12	0	0	0	0	3	0	0	0
g201um9035	x200tgc008	12	0	0	0	2	2	0	0	0
g200um9035	x200tg6011	12	0	0	0	2	3	0	0	0
g200um9034	x200tg6034	7	-100	2	0	0	0	0	0	0
g200um9001	x100tg6001	6	1	2	0	0	0	0	0	0
g200um9002	x100tg6002	6	-10	2	0	0	0	0	0	0
g100um9003	x200tg6003	5	0	1	0	0	0	0	0	0
g100um9007	x100tg6007	4	1	0	0	0	0	0	0	0
g200um9007	x200tg6007	4	-2	0	0	0	0	0	0	0
g100um7548	x162tgc488	17	25	0	0	0	0	0	0	0
g100um9030	x200tg6030	11	0	0	13	0	0	0	0	0
g200um7548	x162tgc488	17	25	0	0	0	0	0	0	0
g100um2111	x000tg6000	10	0	0	0	0	2	1	0	0
g100um0003	x000tgc003	4	-20	0	0	0	2	0	0	0
g000um2301	x000tg6000	3	10	0	0	0	2	0	0	0
g000um2201	x000tg6000	13	10	0	0	0	2	0	0	0
g000um1222	x000tg6000	13	10	0	0	0	0	0	0	0
g001um0001	x000tg6000	6	25	2	0	0	2	0	0	0
g100um0001	x000tg6000	12	0	0	0	1	3	0	0	0
g100um0002	x100tgc008	12	0	0	0	2	3	0	0	0
g101um0003	x100tg6011	12	0	0	0	3	3	0	0	0
g100um0004	x200tgc008	12	0	0	0	4	3	0	0	0
g100um0005	x100tgc008	12	0	0	0	5	3	0	0	0
g100um0006	x100tg6011	12	0	0	0	6	3	0	0	0
g100um0007	x200tgc008	12	0	0	0	7	3	0	0	0
g100um0008	x200tg6011	12	0	0	0	0	3	0	0	0
g100um0009	x200tg6011	12	0	0	0	1	2	0	0	0
g100um0010	x100tgc008	12	0	0	0	2	2	0	0	0
g101um0011	x100tg6011	12	0	0	0	3	2	0	0	0
g100um0012	x200tgc008	12	0	0	0	4	2	0	0	0
g100um0013	x100tgc008	12	0	0	0	5	2	0	0	0
g100um0014	x100tg6011	12	0	0	0	6	2	0	0	0
g100um0015	x200tgc008	12	0	0	0	7	2	0	0	0
g100um0016	x200tg6011	12	0	0	0	0	2	0	0	0
g100um0001	x101tg6001	6	-20	1	0	0	0	0	0	0
g100um0002	x101tg6001	6	-50	1	0	0	0	0	0	0
g101um0003	x101tg6001	6	-20	1	0	0	0	0	0	0
g100um0004	x101tg6001	6	-20	1	0	0	0	0	0	0
g100um0005	x101tg6001	6	-20	1	0	0	0	0	0	0
g100um0006	x101tg6001	6	-20	1	0	0	0	0	0	0
g100um0007	x101tg6001	6	-20	1	0	0	0	0	0	0
g100um0008	x101tg6001	6	-20	1	0	0	0	0	0	0
g100um0009	x101tg6001	6	-10	1	0	0	0	0	0	0
g100um0010	x101tg6001	6	-25	1	0	0	0	0	0	0
g101um0011	x101tg6001	6	-10	1	0	0	0	0	0	0
g100um0012	x101tg6001	6	-10	1	0	0	0	0	0	0
g100um0013	x101tg6001	6	-10	1	0	0	0	0	0	0
g100um0014	x101tg6001	6	-10	1	0	0	0	0	0	0
g100um0015	x101tg6001	6	-10	1	0	0	0	0	0	0
g100um0016	x101tg6001	6	-10	1	0	0	0	0	0	0
g100um0017	x101tg6001	6	-5	1	0	0	0	0	0	0
g100um0018	x101tg6001	6	-15	1	0	0	0	0	0	0
g100um0017	x000tg6000	13	25	0	0	0	0	0	0	0
g100um0018	x000tg6035	13	50	0	0	0	0	0	0	0
g100um0018	x000tg6000	5	0	5	0	0	0	0	0	0
g100um0019	x000tg8817	15	25	0	0	0	0	0	0	0
g100um0020	x000tg8817	15	50	0	0	0	0	0	0	0
g100um0019	x000tgc003	4	-5	0	0	0	0	0	0	0
g100um0020	x000tgc003	4	-10	0	0	0	0	0	0	0
g100um0019	x000tg6000	3	-5	0	0	0	0	0	0	0
g100um0020	x000tg6000	3	-10	0	0	0	0	0	0	0
g100um0019	x160tgc206	9	-5	0	0	0	0	0	0	0
g100um0020	x160tgc206	9	-10	0	0	0	0	0	0	0
g100um0021	x000tgc003	4	33	0	0	0	0	0	0	0
g100um0021	x000tg6000	3	-15	0	0	0	0	0	0	0
g100um0022	x000tg6000	3	25	0	0	0	0	0	0	0
g100um0022	x160tgc206	9	-10	0	0	0	0	0	0	0
g100um0023	x000tg6000	3	-10	0	0	0	0	0	0	0
g100um0023	x160tgc206	9	30	0	0	0	0	0	0	0
g100um0023	x000tgc003	4	-10	0	0	0	0	0	0	0
g100um0024	x000tg6000	5	0	30	0	0	0	0	0	0
g100um0024	x101tg6001	6	-10	1	0	0	0	0	0	0
g100um0025	x000tg6000	5	0	-10	0	0	0	0	0	0
g100um0025	x101tg6001	6	30	1	0	0	0	0	0	0
g100um0026	x000tg6035	13	10	0	0	0	0	0	0	0
g100um0027	x000tg6000	5	0	10	0	0	0	0	0	0
g100um0028	x101tg6001	6	10	1	0	0	0	0	0	0
g100um0029	x000tg6000	4	10	0	0	0	0	0	0	0
g100um0030	x101tg6001	9	10	1	0	0	0	0	0	0
g100um0031	x000tg6035	3	10	0	0	0	0	0	0	0
g001um2016	x000tg8817	15	50	0	0	0	0	0	0	0
g001um2007	x000tg6000	6	50	1	0	0	2	0	0	0
g001um2013	x200tg6011	12	0	0	0	0	2	0	0	0
g001um2010	x101tg6001	6	50	2	0	0	0	0	0	0
g100um0032	x000tg6000	5	0	-20	0	0	0	0	0	0
g100um0032	x101tg6001	6	50	1	0	0	0	0	0	0
g100um2033	x101tg6001	6	25	2	0	0	0	0	0	0
g100um2034	x101tg6001	6	50	2	0	0	0	0	0	0
g100um2035	x101tg6001	6	100	2	0	0	0	0	0	0
g001um2405	x101tg6001	11	0	0	6	0	0	0	0	0
g001um2004	x200tg6011	12	0	0	0	1	2	0	0	0
g200um0001	x000tg6000	12	0	0	0	1	3	0	0	0
g100um2111	x000tg6000	10	0	0	0	0	2	3	0	0
g200um0002	x000tg8817	15	50	0	0	0	0	0	0	0
g200um0004	x200tg6011	12	0	0	0	0	2	0	0	0
g200um0004	x101tg6001	6	10	1	0	0	0	0	0	0
g200um0005	x000tg6000	5	0	35	0	0	0	0	0	0
g200um0005	x101tg6001	6	-15	1	0	0	0	0	0	0
g200um0005	x200tg6011	12	0	0	0	1	2	0	0	0
g200um0006	x200tgc008	12	0	0	0	4	2	0	0	0
g200um0006	x000tg6035	13	80	0	0	0	0	0	0	0
g200um0007	x000tgc003	4	33	0	0	0	0	0	0	0
g200um0007	x101tg6001	9	15	1	0	0	0	0	0	0
g200um0008	x200tgc008	12	0	0	0	7	2	0	0	0
g200um0008	x100tgc008	12	0	0	0	5	2	0	0	0
g200um0008	x100tg6011	12	0	0	0	6	2	0	0	0
g200um0008	x200tgc008	12	0	0	0	4	2	0	0	0
g200um0009	x000tg6029	11	0	0	7	0	0	0	0	0
g000um2206	x000tg6000	1	0	5	0	0	2	0	0	0
g200um0010	x100tgc008	12	0	0	0	5	2	0	0	0
g200um0010	x000tg6000	5	0	25	0	0	0	0	0	0
g200um0011	x100tgc008	12	0	0	0	7	2	0	0	0
g200um0011	x000tg6000	6	30	1	0	0	0	0	0	0
g200um0012	x000tgc003	4	33	0	0	0	0	0	0	0
g200um0012	x000tg6000	3	15	0	0	0	0	0	0	0
g200um0013	x000tg6000	5	0	15	0	0	0	0	0	0
g200um0013	x000tg6035	13	25	0	0	0	0	0	0	0
g200um0013	x000tg6000	6	50	2	0	0	0	0	0	0
g200um0014	x000tgc003	4	15	0	0	0	0	0	0	0
g200um0014	x000tg6000	3	15	0	0	0	0	0	0	0
g200um0014	x101tg6001	9	15	1	0	0	0	0	0	0
g200um0015	x100tgc008	12	0	0	0	6	2	0	0	0
g200um0015	x000tg6000	6	75	2	0	0	0	0	0	0
g000um2404	x000tg6000	13	25	0	0	0	0	0	0	0
g000um2401	x000tg6000	6	20	1	0	0	0	0	0	0
g000um2402	x000tg6000	6	30	2	0	0	0	0	0	0
g000um2403	x000tg6000	5	0	20	0	0	0	0	0	0
g090um0001	x000tg6000	12	0	0	0	3	2	0	0	0
g010um0001	x000tgc100	5	0	15	0	0	2	0	0	0
g010um0002	x000tgc101	3	-15	0	0	0	2	0	0	0
g010um0003	x000tgc045	5	0	-15	0	0	2	0	0	0
g010um0004	x000tgc045	6	25	1	0	0	0	0	0	0
g011um0001	x000tgc103	12	0	0	0	0	2	0	0	0
g011um0002	x000tgc103	5	0	25	0	0	2	0	0	0
g011um0003	x000tgc103	6	-50	1	0	0	0	0	0	0
g011um0004	x000tgc103	5	0	25	0	0	2	0	0	0
g002um0001	x090tgc003	6	10	1	0	0	0	0	0	0
g002um0001	x090tgc003	5	0	10	0	0	2	0	0	0
g002um0001	x090tgc003	12	0	0	0	0	2	0	0	0
g002um0002	x090tgc005	5	0	20	0	0	0	0	0	0
g002um0002	x090tgc005	12	0	0	0	3	2	0	0	0
g002um0002	x090tgc005	6	10	1	0	0	0	0	0	0
g002um0003	x090tgc007	7	10	0	0	0	2	0	0	0
g002um0003	x090tgc007	16	0	0	0	0	0	0	0	0
g002um0004	x090tgc009	12	0	0	0	6	2	0	0	0
g002um0005	x090tgc011	12	0	0	0	7	2	0	0	0
g002um0006	x090tgc013	4	15	0	0	0	0	0	0	0
g002um0007	x090tgc015	6	15	1	0	0	0	0	0	0
g002um0007	x090tgc015	5	0	5	0	0	0	0	0	0
g002um0007	x090tgc015	12	0	0	0	4	2	0	0	0
g002um0008	x090tgc017	10	0	0	0	0	2	3	0	0
g002um0008	x090tgc017	7	10	0	0	0	2	0	0	0
g002um0009	x090tgc019	6	75	2	0	0	0	0	0	0
g002um0009	x090tgc019	12	0	0	0	1	2	0	0	0
g002um0010	x090tgc021	4	25	0	0	0	0	0	0	0
g002um0010	x090tgc021	3	5	0	0	0	0	0	0	0
g002um0011	x090tgc023	6	25	1	0	0	0	0	0	0
g002um0011	x090tgc023	12	0	0	0	3	2	0	0	0
g002um0012	x090tgc025	12	0	0	0	5	2	0	0	0
g002um0012	x090tgc025	13	30	0	0	0	0	0	0	0
g011um0005	x090tgc015	5	0	15	0	0	0	0	0	0
g011um0006	x090tgc003	6	-20	1	0	0	0	0	0	0
g011um0007	x090tgc003	6	-10	2	0	0	0	0	0	0
g011um0008	x090tgc003	6	-60	1	0	0	0	0	0	0
g011um0009	x090tgc003	6	40	2	0	0	0	0	0	0
g002um0013	x000tg1308	10	0	0	0	0	2	3	0	0
g002um0013	x000tg1308	7	25	0	0	0	2	0	0	0
g002um0014	x090tgc003	6	25	2	0	0	0	0	0	0
g002um0015	x090tgc003	6	50	2	0	0	0	0	0	0
g002um0016	x090tgc003	12	0	0	0	1	2	0	0	0
g002um0017	x090tgc003	12	0	0	0	0	2	0	0	0
g002um0018	x090tgc003	1	0	3	0	0	2	0	0	0
g002um0019	x090tgc003	1	0	-3	0	0	2	0	0	0
g002um0020	x090tgc003	9	15	0	0	0	0	0	0	0
g002um0020	x090tgc003	4	10	0	0	0	0	0	0	0
g002um0021	x000tg6000	11	0	0	17	0	0	0	0	0
g002um0021	x000tg6000	1	0	3	0	0	2	0	0	0
g002um0022	x000tg6000	9	10	0	0	0	0	0	0	0
g002um0022	x000tg6000	4	-10	0	0	0	0	0	0	0
g002um0023	x000tg6000	9	15	0	0	0	0	0	0	0
g002um0024	x000tg6000	9	20	0	0	0	0	0	0	0
g002um0024	x000tg6000	4	15	0	0	0	0	0	0	0
g002um0025	x000tg6000	9	20	0	0	1	0	0	0	0
g002um0026	x000tg8817	15	50	0	0	0	0	0	0	0
g002um0027	x000tg6000	3	-20	0	0	0	0	0	0	0
g003um0001	x000tg6000	12	0	0	0	8	2	0	0	0
g003um0002	x000tg6000	12	0	0	0	9	2	0	0	0
g003um0003	x000tg6000	12	0	0	0	10	2	0	0	0
g003um0004	x000tg6000	12	0	0	0	11	2	0	0	0
g003um0005	x000tg6000	12	0	0	0	12	2	0	0	0
g003um0006	x000tg6000	12	0	0	0	13	2	0	0	0
g003um0007	x000tg6000	12	0	0	0	14	2	0	0	0
g003um0008	x000tg6000	12	0	0	0	15	2	0	0	0
g003um0009	x000tg6000	12	0	0	0	16	2	0	0	0
g002um0028	x000tg6000	4	75	0	0	0	0	0	0	0
g002um0029	x000tg6000	5	0	40	0	0	0	0	0	0
g002um0030	x000tg8817	15	25	0	0	0	0	0	0	0
g002um0031	x000tg6000	9	10	0	0	0	0	0	0	0
g002um0031	x000tg6000	4	10	0	0	0	0	0	0	0
g002um0032	x000tg6000	4	10	0	0	0	0	0	0	0
g002um0033	x000tg6000	6	30	2	0	0	0	0	0	0
g002um0034	x000tg6000	6	50	2	0	0	0	0	0	0
g002um0035	x000tg6000	4	50	0	0	0	0	0	0	0
g002um0035	x000tg6000	9	-50	0	0	0	0	0	0	0
g002um0036	x000tg6000	9	10	0	0	0	0	0	0	0
g002um0037	x000tg6000	9	15	0	0	0	0	0	0	0
g002um0038	x000tg6000	9	20	0	0	0	0	0	0	0
g002um0039	x000tg6000	5	0	10	0	0	0	0	0	0
g002um0040	x000tg6000	5	0	15	0	0	0	0	0	0
g002um0041	x000tg6000	5	0	20	0	0	0	0	0	0
g002um0042	x000tg6000	6	100	2	0	0	0	0	0	0
g004um0001	x000tg6000	5	0	10	0	0	0	0	0	0
g004um0002	x000tg6000	6	15	1	0	0	0	0	0	0
g004um0003	x000tg6000	3	10	0	0	0	0	0	0	0
g004um0004	x000tg6000	9	10	0	0	0	0	0	0	0
g004um0005	x000tg6000	4	10	0	0	0	0	0	0	0
g004um0006	x000tg6035	13	15	0	0	0	0	0	0	0
g002um0043	x000tg0661	7	-99	0	0	0	0	0	0	0
g201um9036	x000tg0662	1	0	1	0	0	0	0	0	0
g201um9037	x000tg0663	1	0	-1	0	0	0	0	0	0
g002um0044	x000tg6000	12	0	0	0	4	3	0	0	0
g002um0045	x000tg6000	12	0	0	0	7	3	0	0	0
g002um0046	x000tg6000	12	0	0	0	6	3	0	0	0
g002um0047	x000tg6000	12	0	0	0	5	3	0	0	0
g002um0048	x000tg6000	12	0	0	0	3	3	0	0	0
g002um0049	x000tg6000	12	0	0	0	0	3	0	0	0
g002um0050	x000tg6000	12	0	0	0	1	3	0	0	0
g002um0051	x000tg6000	12	0	0	0	2	3	0	0	0
g002um0052	x000tg8817	15	25	0	0	0	0	0	0	0
g002um0053	x000tg8817	15	50	0	0	0	0	0	0	0
g201um9038	x000tg0736	15	1	0	0	0	0	0	0	0
g201um9039	x000tg0737	15	10	0	0	0	0	0	0	0
g201um9040	x000tga012	11	0	0	6	0	0	0	0	0
g201um9041	x000tg0740	17	5	0	0	0	0	0	0	0
g002um0054	x000tg6000	3	20	0	0	0	0	0	0	0
g002um0054	x000tg6000	4	10	0	0	0	0	0	0	0
g002um0055	x000tg6000	3	15	0	0	0	0	0	0	0
g002um0055	x000tg6000	4	15	0	0	0	0	0	0	0
g002um0055	x000tg6000	9	15	0	0	0	0	0	0	0
g000um4025	x000tg6000	12	0	0	0	3	2	0	0	0
g000um4026	x000tg6000	12	0	0	0	1	2	0	0	0
g002um0056	x000tg6000	4	15	0	0	0	0	0	0	0
g002um0057	x000tgc002	9	20	0	0	0	2	0	0	0
g002um0058	x000tgc003	4	20	0	0	0	2	0	0	0
g002um0059	x000tgc012	5	0	20	0	0	2	0	0	0
g002um0060	x000tgc013	3	20	0	0	0	2	0	0	0
g002um0061	x160tgc216	6	50	2	0	0	0	0	0	0
g002um0062	x000tg8817	15	25	0	0	0	0	0	0	0
