ATT_ID	NAME_TXT	DESC_TXT	INITIATIVE	SOURCE	CLASS	POWER	REACH	QTY_HEAL	QTY_DAM	LEVEL	ALT_ATTACK	INFINITE	QTY_WARDS	WARD1	WARD2	WARD3	WARD4	CRIT_HIT
g000aa0044	x000tg5044	x000tg5044	40	0	1	80	3	0	30	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0045	x000tg5045	x000tg5045	50	0	1	80	2	0	22	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0046	x000tg5046	x000tg5046	35	6	1	70	1	0	15	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0047	x000tg5047	x000tg5047	30	0	1	80	3	0	10	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0048	x000tg5048	x000tg5048	50	0	1	80	3	0	40	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0049	x000tg5049	x000tg5049	60	0	1	85	3	0	45	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0050	x000tg5050	x000tg5050	60	5	1	80	1	0	50	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0051	x000tg5051	x000tg5051	70	0	1	80	3	0	150	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0052	x000tg5052	x000tg5052	50	0	1	80	3	0	25	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0053	x000tg5053	x000tg5053	50	0	1	80	3	0	50	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0054	x000tg5054	x000tg5054	50	0	1	80	3	0	75	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0055	x000tg5055	x000tg5055	60	6	1	80	2	0	40	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0056	x000tg5056	x000tg5056	60	6	1	80	2	0	65	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0057	x000tg5057	x000tg5057	35	0	1	85	3	0	60	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0058	x000tg5058	x000tg5058	35	0	1	85	3	0	95	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0059	x000tg4037	x000tg4037	35	0	2	85	3	0	110	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0060	x000tg5060	x000tg5060	20	0	1	80	1	0	70	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0061	x000tg5061	x000tg5061	40	0	1	85	3	0	70	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0062	x000tg5062	x000tg5062	40	4	1	80	1	0	15	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0063	x000tg5063	x000tg5063	40	4	1	80	1	0	30	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0064	x000tg5064	x000tg5064	40	4	1	80	1	0	45	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0065	x000tg5065	x000tg5065	20	6	9	55	2	0	0	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0066	x000tg5066	x000tg5066	40	4	1	80	1	0	65	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0067	x000tg5067	x000tg5067	25	1	22	70	2	0	0	0	g000000000	True	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0068	x000tg5068	x000tg5068	25	1	22	55	2	0	0	0	g000000000	True	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0069	x000tg5069	x000tg5069	50	0	1	85	3	0	60	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0070	x000tg5070	x000tg5070	50	0	1	80	3	0	27	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	True
g000aa0071	x000tg5071	x000tg5071	60	0	1	80	2	0	22	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0072	x000tg5072	x000tg5072	40	4	1	70	1	0	15	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0073	x000tg5073	x000tg5073	20	1	7	80	2	0	0	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0074	x000tg5074	x000tg5074	60	0	1	80	3	0	30	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0075	x000tg5075	x000tg5075	60	4	1	80	1	0	20	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0076	x000tg5076	x000tg5076	60	0	1	80	3	0	75	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0077	x000tg5077	x000tg5077	60	4	1	80	1	0	75	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0078	x000tg5078	x000tg5078	20	1	3	60	2	0	0	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0079	x000tg5079	x000tg5079	20	1	3	65	2	0	0	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0080	x000tg5080	x000tg5080	40	3	1	80	1	0	15	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0081	x000tg5081	x000tg5081	40	3	1	80	1	0	30	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0082	x000tg5082	x000tg5082	40	3	1	80	1	0	45	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0083	x000tg5083	x000tg5083	40	3	2	80	1	0	50	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0084	x000tg5084	x000tg5084	40	3	1	80	1	0	70	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0085	x000tg5085	x000tg5085	60	3	1	80	2	0	60	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0086	x000tg5086	x000tg5086	50	0	1	80	3	0	25	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0087	x000tg5087	x000tg5087	50	0	1	80	3	0	50	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0088	x000tg5088	x000tg5088	50	0	1	80	3	0	75	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0089	x000tg5089	x000tg5089	50	0	1	80	3	0	100	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0090	x000tg5090	x000tg5090	50	0	1	80	3	0	50	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0091	x000tg5091	x000tg5091	50	0	1	80	3	0	75	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0092	x000tg5092	x000tg5092	50	0	1	80	3	0	40	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0093	x000tg5093	x000tg5093	35	3	1	80	1	0	25	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0094	x000tg5094	x000tg5094	35	3	1	80	1	0	40	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0095	x000tg5095	x000tg5095	35	3	1	80	1	0	55	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0096	x000tg5097	x000tg5097	50	0	15	80	3	0	21	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0097	x000tg5097	x000tg5097	50	3	15	70	1	0	8	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0098	x000tg5098	x000tg5098	40	4	1	70	1	0	15	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0099	x000tg5099	x000tg5099	20	1	3	70	2	0	0	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0100	x000tg5100	x000tg5100	60	0	1	80	3	0	30	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0101	x000tg5101	x000tg5101	60	0	1	85	3	0	45	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0102	x000tg5102	x000tg5102	55	0	1	85	3	0	75	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0103	x000tg5103	x000tg5103	60	3	1	80	1	0	50	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0104	x000tg5104	x000tg5104	70	0	1	80	3	0	150	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0150	x000tg5011	x000tg5011	10	2	6	100	2	55	0	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0151	x000tg5011	x000tg5011	10	2	6	100	1	50	0	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0152	x000tg5152	x000tg5152	40	7	1	80	1	0	65	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0153	x000tg5153	x000tg5153	50	7	17	100	2	0	0	0	g000000000	True	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0154	x000tg5154	x000tg5154	60	0	1	85	2	0	60	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0155	x200tg5155	x000tg5155	50	0	1	90	3	0	75	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0156	x000tg5156	x000tg5156	70	0	1	80	3	0	125	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0157	x000tg5157	x000tg5157	50	0	1	80	3	0	100	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0158	x000tg5158	x000tg5158	30	7	1	80	1	0	80	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0159	x000tg5159	x000tg5159	45	5	1	85	3	0	70	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0160	x080tg0008	x080tg0008	70	2	8	100	2	0	0	4	g000000000	True	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0161	x000tg5161	x000tg5161	10	2	19	100	2	0	0	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0162	x000tg5162	x000tg5162	45	0	1	80	2	0	75	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0163	x000tg5163	x000tg5163	40	5	1	80	1	0	55	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0164	x000tg5164	x000tg5164	50	5	17	100	2	0	0	0	g000000000	True	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0165	x000tg5165	x000tg5165	45	0	1	80	3	0	80	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0166	x000tg5166	x000tg5166	50	0	1	80	3	0	70	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0167	x000tg5167	x000tg5167	60	6	1	80	2	0	85	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0168	x000tg5168	x000tg5168	20	0	1	80	1	0	100	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0169	x000tg5169	x000tg5169	55	0	1	85	3	0	170	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0170	x000tg5170	x000tg5170	40	0	1	85	3	0	80	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0171	x000tg5171	x000tg5171	70	1	20	100	2	0	0	0	g000aa1171	True	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0172	x000tg5172	x000tg5172	40	4	1	80	1	0	75	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0173	x000tg5173	x000tg5173	25	1	22	60	2	0	0	0	g000000000	True	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0174	x000tg5174	x000tg5174	20	1	3	55	2	0	0	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0175	x000tg5083	x000tg5083	35	3	2	80	1	0	60	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0176	x000tg5176	x000tg5176	40	3	1	80	1	0	90	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0177	x000tg5177	x000tg5177	50	3	1	80	2	0	50	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0178	x000tg5178	x000tg5178	55	3	15	80	2	0	65	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0179	x000tg5179	x000tg5179	50	0	1	80	3	0	120	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0180	x000tg5180	x000tg5180	35	3	1	80	1	0	20	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0181	x000tg5181	x000tg5181	35	3	1	80	1	0	75	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0190	x000tg5190	x000tg5190	65	0	1	80	3	0	90	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa1017	x000tg5016	x000tg5016	10	2	16	100	1	0	0	0	g000000000	True	0	g000000000	g000000000	g000000000	g000000000	False
g000aa1035	x000tg5016	x000tg5016	70	2	16	100	2	0	0	0	g000000000	True	0	g000000000	g000000000	g000000000	g000000000	False
g000aa1069	x080tg0012	x080tg0012	50	3	12	70	3	0	20	0	g000000000	True	0	g000000000	g000000000	g000000000	g000000000	False
g000aa1104	x080tg0012	x080tg0012	70	3	12	80	3	0	40	0	g000000000	True	0	g000000000	g000000000	g000000000	g000000000	False
g000aa1150	x000tg5650	x000tg5650	10	2	14	100	2	50	0	0	g000000000	True	0	g000000000	g000000000	g000000000	g000000000	False
g000aa1151	x000tg5016	x000tg5016	10	2	16	100	1	0	0	0	g000000000	True	0	g000000000	g000000000	g000000000	g000000000	False
g000aa1154	x080tg0012	x080tg0012	60	3	12	75	2	0	20	0	g000000000	True	0	g000000000	g000000000	g000000000	g000000000	False
g000aa1159	x080tg0013	x080tg0013	50	5	13	50	3	0	30	0	g000000000	True	0	g000000000	g000000000	g000000000	g000000000	False
g000aa1160	x000tg5016	x000tg5016	70	2	16	100	2	0	0	0	g000000000	True	0	g000000000	g000000000	g000000000	g000000000	False
g000aa1163	x000tg5663	x000tg5663	30	5	11	40	1	0	0	1	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa1164	x000tg5664	x000tg5664	40	5	1	80	1	0	40	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa1168	x080tg1010	x080tg1010	20	1	10	50	1	0	0	1	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa1169	x080tg0023	x080tg0023	50	4	23	70	1	0	30	0	g000000000	True	0	g000000000	g000000000	g000000000	g000000000	False
g000aa1170	x000tg5670	x000tg5670	50	6	9	45	3	0	0	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa1171	x000tg5671	x000tg5671	70	0	1	80	3	0	70	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa1177	x080tg0012	x080tg0012	50	3	12	80	2	0	50	0	g000000000	True	0	g000000000	g000000000	g000000000	g000000000	False
g000aa1178	x000tg5678	x000tg5678	55	3	18	35	2	0	0	0	g000000000	True	0	g000000000	g000000000	g000000000	g000000000	False
g000aa1179	x000tg5679	x000tg5679	50	1	3	30	3	0	0	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa1180	x000tg5680	x000tg5680	35	3	12	80	1	0	60	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2001	x000tg1205	x000tg1205	50	5	1	85	3	0	85	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2002	x000tg5011	x000tg5011	70	2	6	100	2	55	0	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2003	x000tg1211	x000tg1211	50	1	1	80	2	0	65	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2004	x000tg4037	x000tg4037	50	1	2	80	2	0	80	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2005	x000tg1222	x000tg1222	35	3	1	60	1	0	145	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2006	x000tg5011	x000tg5011	10	2	6	100	2	25	0	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2007	x000tg5011	x000tg5011	15	2	6	100	2	60	0	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2008	x000tg5011	x000tg5011	15	2	6	100	2	80	0	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2009	x000tg1243	x000tg1243	60	0	1	80	3	0	65	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2010	x000tg1243	x000tg1243	80	0	1	80	3	0	75	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2011	x000tg1252	x000tg1252	40	7	1	70	3	0	70	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2012	x000tg1257	x000tg1257	45	7	1	80	2	0	75	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2013	x000tg1262	x000tg1262	55	0	1	80	3	0	70	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2014	x000tg5202	x000tg5202	50	0	1	80	3	0	45	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2015	x000tg5203	x000tg5203	45	0	1	80	3	0	70	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2016	x000tg1275	x000tg1275	45	0	1	80	3	0	90	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2017	x000tg1276	x000tg1276	45	0	1	80	3	0	130	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2018	x000tg1289	x000tg1289	20	4	1	75	2	0	25	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2019	x000tg5097	x000tg5097	45	3	15	80	2	0	80	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2020	x000tg5028	x000tg5028	40	4	1	80	1	0	10	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2021	x000tg5011	x000tg5011	10	2	6	100	1	50	0	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2022	x000tg5011	x000tg5011	70	2	6	100	2	40	0	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2023	x000tg1320	x000tg1320	50	7	1	80	3	0	65	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2024	x000tg1337	x000tg1337	55	0	1	80	3	0	150	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2025	x000tg4004	x000tg4004	40	7	1	80	1	0	30	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2026	x000tg1345	x000tg1345	20	5	1	70	2	0	20	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2027	x000tg1355	x000tg1355	45	6	1	40	1	0	45	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2028	x000tg5028	x000tg5028	40	4	1	80	1	0	30	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2029	x000tg1364	x000tg1364	55	7	1	80	1	0	45	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2030	x000tg1365	x000tg1365	45	5	1	80	3	0	100	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2031	x000tg1366	x000tg1366	35	6	1	80	3	0	125	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2032	x000tg1367	x000tg1367	45	4	1	80	1	0	40	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2033	x000tg1364	x000tg1364	55	7	1	80	2	0	60	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2034	x000tg1365	x000tg1365	50	5	1	80	1	0	30	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2035	x000tg1366	x000tg1366	40	6	1	80	1	0	35	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2036	x000tg1367	x000tg1367	50	4	1	80	2	0	55	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2037	x000tg1372	x000tg1372	50	1	1	80	1	0	70	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2038	x000tg5097	x000tg5097	45	3	15	80	1	0	60	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2039	x000tg1382	x000tg1382	55	1	1	80	2	0	90	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2040	x000tg1381	x000tg1381	55	3	1	80	2	0	75	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2041	x000tg5153	x000tg5153	60	2	17	100	2	0	0	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2042	x000tg1406	x000tg1406	45	1	1	80	1	0	90	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2043	x000tg1407	x000tg1407	40	1	1	80	1	0	25	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2044	x000tg1407	x000tg1407	40	1	1	80	1	0	20	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2045	x000tg4037	x000tg4037	40	0	2	85	3	0	75	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2046	x000tg5097	x000tg5097	45	1	15	80	2	0	85	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa2047	x000tg1429	x000tg1429	60	0	1	75	2	0	15	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
