LMARK_ID	CX	CY
MOMNE0109	1	1
MOMNE0110	1	1
MOMNE0111	1	1
MOMNE0112	1	1
MOMNE0113	1	1
MOMNE0114	1	1
MOMNE0115	1	1
MOMNE0116	1	1
MOMNE0117	1	1
MOMNE0118	1	1
MOMNE0119	1	1
MOMNE0120	1	1
MOMNE0121	1	1
MOMNE0200	2	2
MOMNE0201	2	2
MOMNE0202	2	2
MOMNE0203	2	2
MOMNE0204	2	2
MOMNE0205	2	2
MOMNE0206	2	2
MOMNE0207	2	2
MOMNE0208	2	2
MOMNE0209	2	2
MOMNE0210	2	2
MOMNE0211	2	2
MOMNE0212	2	2
MOMNE0213	2	2
MOMNE0214	2	2
MOMNE0215	2	2
MOMNE0216	2	2
MOMNE0217	2	2
MOMNE0218	2	2
MOMNE0219	2	2
MOMNE0300	3	3
MOMNE0301	3	3
MOMNE0302	3	3
MOMNE0303	3	3
MOMNE0304	3	3
MOMNE0305	3	3
MOMNE0306	3	3
MOMNE0307	3	3
MOMNE0308	3	3
MOMNE0309	3	3
MOMNE0310	3	3
MOMNE0311	3	3
MOMNE0312	3	3
MOMNE0313	3	3
MOMNE0314	3	3
MOMNE0315	3	3
MOMNE0316	3	3
MOMNE0317	3	3
MOMNE0500	5	5
MOMNE0501	5	5
MOMNE0502	5	5
MOMNE0503	5	5
MOMNE0504	5	5
MOMNE0505	5	5
MOMNE0506	5	5
MOMNE0507	5	5
MOMNE0508	5	5
MOMNE0509	5	5
MOMNE0510	5	5
MOMNE0511	5	5
MOMNE0512	5	5
